,Date,Country,City,Specie,count,min,max,median,variance
204,1/9/2020,KG,Bishkek,pm25,24,91.0,262.0,147.0,22208.7
205,2/21/2020,KG,Bishkek,pm25,23,17.0,173.0,154.0,27144.5
206,1/8/2020,KG,Bishkek,pm25,24,68.0,169.0,114.0,9949.78
207,2/25/2020,KG,Bishkek,pm25,24,5.0,137.0,30.0,12249.3
208,2/29/2020,KG,Bishkek,pm25,24,74.0,173.0,132.0,10091.0
209,1/16/2020,KG,Bishkek,pm25,24,74.0,177.0,119.0,6163.7
210,2/22/2020,KG,Bishkek,pm25,22,5.0,89.0,55.0,7199.57
211,1/26/2020,KG,Bishkek,pm25,24,42.0,204.0,160.0,31673.0
212,2/18/2020,KG,Bishkek,pm25,24,59.0,162.0,107.0,11946.8
213,3/8/2020,KG,Bishkek,pm25,24,61.0,158.0,112.0,9893.46
214,1/1/2020,KG,Bishkek,pm25,24,61.0,175.0,82.0,15963.0
215,1/10/2020,KG,Bishkek,pm25,24,57.0,412.0,155.0,106306.0
216,1/14/2020,KG,Bishkek,pm25,24,154.0,288.0,170.0,8733.75
217,1/17/2020,KG,Bishkek,pm25,24,89.0,195.0,137.0,8618.84
218,3/5/2020,KG,Bishkek,pm25,24,68.0,157.0,119.0,7576.52
219,4/25/2020,KG,Bishkek,pm25,13,17.0,50.0,25.0,827.69
220,1/6/2020,KG,Bishkek,pm25,24,97.0,208.0,158.0,12691.3
221,1/24/2020,KG,Bishkek,pm25,22,55.0,200.0,89.0,10242.8
222,2/1/2020,KG,Bishkek,pm25,24,46.0,162.0,74.0,11725.2
223,3/2/2020,KG,Bishkek,pm25,22,5.0,149.0,34.0,12795.2
224,2/27/2020,KG,Bishkek,pm25,23,9.0,119.0,50.0,8036.92
225,4/16/2020,KG,Bishkek,pm25,24,9.0,72.0,30.0,3631.14
226,1/21/2020,KG,Bishkek,pm25,24,72.0,185.0,153.0,16865.1
227,2/10/2020,KG,Bishkek,pm25,24,30.0,57.0,38.0,662.54
228,2/14/2020,KG,Bishkek,pm25,24,13.0,163.0,76.0,26854.3
229,2/19/2020,KG,Bishkek,pm25,24,46.0,179.0,65.0,19695.9
230,1/11/2020,KG,Bishkek,pm25,24,55.0,192.0,82.0,17244.3
231,2/7/2020,KG,Bishkek,pm25,24,13.0,139.0,42.0,16192.2
232,4/7/2020,KG,Bishkek,pm25,24,9.0,72.0,34.0,2592.1
233,1/3/2020,KG,Bishkek,pm25,24,34.0,197.0,53.0,27274.8
234,1/4/2020,KG,Bishkek,pm25,24,38.0,183.0,70.0,26926.1
235,3/1/2020,KG,Bishkek,pm25,23,30.0,167.0,72.0,18510.7
236,3/16/2020,KG,Bishkek,pm25,24,5.0,151.0,38.0,14039.4
237,4/1/2020,KG,Bishkek,pm25,24,9.0,99.0,55.0,4460.58
238,4/8/2020,KG,Bishkek,pm25,22,5.0,80.0,34.0,4443.22
239,1/2/2020,KG,Bishkek,pm25,24,63.0,217.0,97.0,32234.3
240,1/18/2020,KG,Bishkek,pm25,24,68.0,329.0,154.0,52269.1
241,2/26/2020,KG,Bishkek,pm25,24,5.0,78.0,25.0,4637.23
242,3/15/2020,KG,Bishkek,pm25,24,25.0,95.0,55.0,3900.42
243,3/3/2020,KG,Bishkek,pm25,7,38.0,129.0,85.0,10205.7
244,3/12/2020,KG,Bishkek,pm25,24,63.0,152.0,102.0,6079.93
245,3/30/2020,KG,Bishkek,pm25,24,38.0,178.0,61.0,13576.4
246,4/13/2020,KG,Bishkek,pm25,23,5.0,107.0,42.0,7025.65
247,2/2/2020,KG,Bishkek,pm25,24,34.0,139.0,68.0,8506.88
248,2/4/2020,KG,Bishkek,pm25,24,57.0,181.0,93.0,9289.56
249,2/8/2020,KG,Bishkek,pm25,24,25.0,50.0,38.0,452.88
250,4/18/2020,KG,Bishkek,pm25,11,5.0,74.0,13.0,6292.18
251,3/25/2020,KG,Bishkek,pm25,24,30.0,139.0,53.0,9865.8
252,4/6/2020,KG,Bishkek,pm25,24,5.0,102.0,25.0,8397.32
253,1/12/2020,KG,Bishkek,pm25,24,70.0,236.0,139.0,23893.3
254,1/30/2020,KG,Bishkek,pm25,24,112.0,372.0,168.0,25639.7
255,2/11/2020,KG,Bishkek,pm25,18,13.0,168.0,46.0,26204.1
256,2/15/2020,KG,Bishkek,pm25,24,42.0,216.0,87.0,24184.6
257,1/27/2020,KG,Bishkek,pm25,24,53.0,167.0,104.0,14711.0
258,2/24/2020,KG,Bishkek,pm25,24,91.0,226.0,163.0,8010.44
259,2/12/2020,KG,Bishkek,pm25,24,61.0,197.0,160.0,16462.5
260,4/24/2020,KG,Bishkek,pm25,16,9.0,38.0,17.0,764.67
261,1/7/2020,KG,Bishkek,pm25,24,109.0,168.0,149.0,3966.01
262,3/14/2020,KG,Bishkek,pm25,24,17.0,169.0,61.0,15367.8
263,3/10/2020,KG,Bishkek,pm25,24,65.0,156.0,117.0,8815.2
264,1/20/2020,KG,Bishkek,pm25,24,74.0,211.0,109.0,18033.0
265,1/15/2020,KG,Bishkek,pm25,24,74.0,175.0,144.0,11266.7
266,4/12/2020,KG,Bishkek,pm25,17,5.0,82.0,42.0,4776.91
267,2/13/2020,KG,Bishkek,pm25,24,34.0,184.0,80.0,16075.9
268,3/29/2020,KG,Bishkek,pm25,23,21.0,122.0,59.0,4526.28
269,4/17/2020,KG,Bishkek,pm25,23,5.0,147.0,34.0,13209.9
270,12/31/2019,KG,Bishkek,pm25,24,85.0,198.0,166.0,8196.07
271,1/19/2020,KG,Bishkek,pm25,24,59.0,251.0,157.0,25937.7
272,2/5/2020,KG,Bishkek,pm25,24,57.0,154.0,82.0,7212.16
273,2/9/2020,KG,Bishkek,pm25,24,21.0,57.0,38.0,791.23
274,3/18/2020,KG,Bishkek,pm25,24,46.0,149.0,63.0,8045.2
275,2/3/2020,KG,Bishkek,pm25,24,38.0,158.0,72.0,12937.4
276,2/17/2020,KG,Bishkek,pm25,24,61.0,185.0,89.0,14258.7
277,2/23/2020,KG,Bishkek,pm25,24,17.0,265.0,65.0,37798.7
278,3/9/2020,KG,Bishkek,pm25,24,78.0,160.0,107.0,4867.54
279,3/28/2020,KG,Bishkek,pm25,24,46.0,97.0,65.0,1238.84
280,3/31/2020,KG,Bishkek,pm25,24,17.0,147.0,61.0,13189.1
281,4/11/2020,KG,Bishkek,pm25,24,5.0,155.0,50.0,18799.9
282,3/19/2020,KG,Bishkek,pm25,24,30.0,87.0,65.0,2457.39
283,3/24/2020,KG,Bishkek,pm25,24,30.0,161.0,61.0,11043.2
284,3/13/2020,KG,Bishkek,pm25,24,46.0,151.0,76.0,5348.68
285,4/9/2020,KG,Bishkek,pm25,16,9.0,65.0,30.0,3879.96
286,4/3/2020,KG,Bishkek,pm25,20,5.0,68.0,21.0,3269.89
287,1/13/2020,KG,Bishkek,pm25,24,91.0,243.0,144.0,14987.8
288,2/20/2020,KG,Bishkek,pm25,24,46.0,225.0,139.0,27028.6
289,3/17/2020,KG,Bishkek,pm25,24,17.0,132.0,55.0,8981.67
290,3/20/2020,KG,Bishkek,pm25,24,46.0,139.0,72.0,6132.39
291,4/22/2020,KG,Bishkek,pm25,17,5.0,80.0,13.0,3804.71
292,1/25/2020,KG,Bishkek,pm25,24,63.0,172.0,89.0,11617.4
293,3/6/2020,KG,Bishkek,pm25,20,17.0,124.0,46.0,7412.92
294,3/7/2020,KG,Bishkek,pm25,23,5.0,129.0,55.0,9908.85
295,4/20/2020,KG,Bishkek,pm25,22,5.0,63.0,21.0,2641.65
296,4/14/2020,KG,Bishkek,pm25,24,21.0,63.0,38.0,1295.2
297,4/23/2020,KG,Bishkek,pm25,22,5.0,63.0,21.0,3008.25
298,1/5/2020,KG,Bishkek,pm25,24,55.0,246.0,102.0,33133.0
299,1/29/2020,KG,Bishkek,pm25,24,78.0,294.0,156.0,22457.7
300,2/16/2020,KG,Bishkek,pm25,23,9.0,151.0,30.0,22948.6
301,4/4/2020,KG,Bishkek,pm25,11,5.0,95.0,21.0,6447.64
302,1/28/2020,KG,Bishkek,pm25,24,59.0,181.0,85.0,20733.6
303,4/15/2020,KG,Bishkek,pm25,14,5.0,70.0,21.0,4134.51
304,3/4/2020,KG,Bishkek,pm25,24,30.0,157.0,78.0,13943.0
305,4/2/2020,KG,Bishkek,pm25,18,5.0,151.0,30.0,12969.2
306,3/22/2020,KG,Bishkek,pm25,20,5.0,74.0,25.0,4881.55
307,3/23/2020,KG,Bishkek,pm25,24,9.0,151.0,34.0,12142.8
308,3/26/2020,KG,Bishkek,pm25,24,34.0,164.0,87.0,20107.5
309,12/30/2019,KG,Bishkek,pm25,24,76.0,259.0,134.0,26925.2
