,Date,Country,City,Specie,count,min,max,median,variance
159,1/4/2020,PR,San Juan,pm25,24,15.0,56.0,24.0,1351.23
160,1/7/2020,PR,San Juan,pm25,5,20.0,25.0,22.0,63.0
161,2/28/2020,PR,San Juan,pm25,8,3.0,102.0,43.0,9862.68
162,3/3/2020,PR,San Juan,pm25,5,46.0,158.0,59.0,20923.0
163,3/7/2020,PR,San Juan,pm25,6,3.0,176.0,33.0,44312.0
164,2/17/2020,PR,San Juan,pm25,13,2.0,92.0,14.0,7009.36
165,2/16/2020,PR,San Juan,pm25,13,4.0,199.0,25.0,26556.0
166,3/1/2020,PR,San Juan,pm25,9,7.0,205.0,58.0,38050.0
167,3/5/2020,PR,San Juan,pm25,11,12.0,191.0,28.0,48224.7
168,3/6/2020,PR,San Juan,pm25,4,24.0,153.0,36.0,33922.5
169,1/2/2020,PR,San Juan,pm25,14,2.0,41.0,14.0,876.1
170,1/6/2020,PR,San Juan,pm25,19,4.0,59.0,14.0,1681.52
171,1/18/2020,PR,San Juan,pm25,19,14.0,584.0,36.0,466415.0
172,2/27/2020,PR,San Juan,pm25,4,23.0,155.0,67.0,32415.8
173,2/14/2020,PR,San Juan,pm25,6,1.0,190.0,78.0,72696.0
174,3/2/2020,PR,San Juan,pm25,7,1.0,171.0,119.0,37048.1
175,3/4/2020,PR,San Juan,pm25,10,19.0,224.0,64.0,40262.7
176,3/8/2020,PR,San Juan,pm25,13,6.0,213.0,58.0,43317.7
177,3/9/2020,PR,San Juan,pm25,6,24.0,67.0,48.0,2427.0
178,12/30/2019,PR,San Juan,pm25,20,9.0,76.0,34.0,4380.5
179,12/31/2019,PR,San Juan,pm25,23,5.0,66.0,19.0,2884.19
180,1/3/2020,PR,San Juan,pm25,17,1.0,51.0,16.0,1366.1
181,1/17/2020,PR,San Juan,pm25,8,3.0,23.0,11.0,494.11
182,2/15/2020,PR,San Juan,pm25,13,7.0,148.0,18.0,16855.0
183,2/29/2020,PR,San Juan,pm25,12,4.0,101.0,43.0,10880.6
184,1/1/2020,PR,San Juan,pm25,20,5.0,191.0,45.0,40055.9
185,1/5/2020,PR,San Juan,pm25,18,6.0,36.0,25.0,572.94
1376,1/28/2020,CA,Hamilton,pm25,65,5.0,38.0,13.0,315.29
1377,1/29/2020,CA,Hamilton,pm25,80,5.0,74.0,25.0,3610.57
1378,4/8/2020,CA,Hamilton,pm25,90,17.0,57.0,34.0,1147.49
1379,1/7/2020,CA,Hamilton,pm25,95,9.0,53.0,30.0,1260.05
1380,4/1/2020,CA,Hamilton,pm25,86,5.0,68.0,21.0,2084.91
1381,4/3/2020,CA,Hamilton,pm25,80,5.0,46.0,17.0,858.17
1382,4/12/2020,CA,Hamilton,pm25,91,21.0,76.0,42.0,1420.85
1383,4/23/2020,CA,Hamilton,pm25,88,13.0,55.0,25.0,624.95
1384,1/8/2020,CA,Hamilton,pm25,68,5.0,42.0,13.0,1405.8
1385,1/18/2020,CA,Hamilton,pm25,85,9.0,57.0,25.0,1406.95
1386,3/27/2020,CA,Hamilton,pm25,78,5.0,72.0,30.0,3734.91
1387,4/2/2020,CA,Hamilton,pm25,91,5.0,38.0,17.0,813.77
1388,1/1/2020,CA,Hamilton,pm25,93,5.0,63.0,17.0,1668.0
1389,1/26/2020,CA,Hamilton,pm25,89,5.0,55.0,30.0,1287.98
1390,3/14/2020,CA,Hamilton,pm25,67,9.0,34.0,17.0,430.91
