Date,Country,City,Specie,count,min,max,median,variance,Pop,Lat,Long
1/1/2020,US,Las Vegas,pm25,138,6.0,268,47.0,34725.2,623747,36.17497,-115.13722
1/1/2020,CN,Qinhuangdao,pm25,175,53.0,211,97.0,7068.64,759718,39.931670000000004,119.58833
1/1/2020,CN,Shijiazhuang,pm25,601,93.0,200,155.0,3075.38,2834942,38.04139,114.47861
1/1/2020,CN,Shantou,pm25,264,34.0,152,65.0,6819.12,5329024,23.36814,116.71479
1/1/2020,CN,Zhengzhou,pm25,400,17.0,172,132.0,11121.2,4253913,34.75778,113.64861
1/1/2020,CN,Nanjing,pm25,238,61.0,153,104.0,3246.37,7165292,32.06167,118.77778
1/1/2020,CN,Xining,pm25,140,70.0,189,155.0,6288.94,767531,36.62554,101.75739
1/1/2020,CN,Zhuzhou,pm25,134,153.0,193,163.0,904.28,709358,27.83333,113.15
1/1/2020,CN,Wuhan,pm25,363,70.0,161,114.0,5210.11,9785388,30.58333,114.26666999999999
1/1/2020,CN,Tianjin,pm25,340,70.0,195,156.0,3790.35,11090314,39.14222,117.17667
1/1/2020,CN,Changzhou,pm25,140,70.0,154,104.0,3377.4,949018,31.773590000000002,119.95401000000001
1/1/2020,CN,Nanchang,pm25,216,85.0,159,129.0,3446.75,2357839,28.68396,115.85306000000001
1/1/2020,CN,Shiyan,pm25,72,74.0,158,112.0,4818.56,3460000,32.6475,110.77806000000001
1/1/2020,CN,Xinxiang,pm25,72,78.0,163,112.0,6251.8,743601,35.190329999999996,113.80151000000001
1/1/2020,CN,Suzhou,pm25,227,46.0,99,68.0,964.35,5345961,31.30408,120.59538
1/1/2020,CN,Harbin,pm25,286,74.0,401,160.0,13432.4,5878939,45.75,126.65
1/1/2020,CN,Lanzhou,pm25,72,117.0,181,158.0,2104.91,2628426,36.05701,103.83986999999999
1/1/2020,CN,Jinan,pm25,286,74.0,174,112.0,6968.35,4335989,36.66833,116.99722
1/1/2020,CN,Hohhot,pm25,140,107.0,398,175.0,17238.6,774477,40.810559999999995,111.65222
1/1/2020,CN,Changsha,pm25,400,122.0,197,162.0,998.39,3093980,28.19874,112.97086999999999
1/1/2020,CN,Chengdu,pm25,689,104.0,204,172.0,1103.74,7415590,30.66667,104.06667
1/1/2020,CN,Fushun,pm25,96,97.0,246,163.0,9126.5,1400646,41.88669,123.94363
1/1/2020,CN,Kunming,pm25,214,17.0,132,59.0,5037.07,3855346,25.03889,102.71833000000001
1/1/2020,CN,Hangzhou,pm25,236,57.0,161,117.0,8464.77,6241971,30.29365,120.16141999999999
1/1/2020,CN,Chongqing,pm25,699,46.0,194,154.0,5869.75,7457600,29.56278,106.55278
1/1/2020,CN,Qingdao,pm25,215,61.0,172,109.0,6732.41,3718835,36.06488,120.38042
1/1/2020,CN,Haikou,pm25,162,30.0,72,46.0,851.51,615835,20.04583,110.34167
1/1/2020,CN,Qiqihar,pm25,94,9.0,149,76.0,6102.59,882364,47.34088,123.96045
1/1/2020,CN,Guiyang,pm25,96,46.0,127,87.0,2693.57,1171633,26.58333,106.71667
1/1/2020,CN,Shenzhen,pm25,174,57.0,160,122.0,5041.59,10358381,22.54554,114.0683
1/1/2020,CN,Yunfu,pm25,120,85.0,158,117.0,4062.5,2612800,22.92833,112.03953999999999
1/1/2020,CN,Xuchang,pm25,68,109.0,182,161.0,3042.57,1265536,34.031890000000004,113.86299
1/1/2020,CN,Yinchuan,pm25,96,107.0,341,178.0,13764.1,475101,38.468059999999994,106.27306000000002
1/1/2020,CN,Shenyang,pm25,216,70.0,266,158.0,8871.49,6255921,41.79222,123.43278000000001
1/1/2020,CN,Lhasa,pm25,115,5.0,190,53.0,14285.2,118721,29.65,91.1
1/1/2020,CN,Shanghai,pm25,855,9.0,295,57.0,2162.8,22315474,31.22222,121.45806
1/1/2020,CN,Changchun,pm25,215,80.0,332,159.0,10951.6,4193073,43.88,125.32278000000001
1/1/2020,CN,Foshan,pm25,175,80.0,153,119.0,3686.08,3600000,23.026770000000003,113.13148000000001
1/1/2020,CN,Nanning,pm25,215,91.0,158,122.0,2931.35,803788,22.816670000000002,108.31667
1/1/2020,CN,Hefei,pm25,233,76.0,160,127.0,4173.43,3310268,31.86389,117.28083000000001
1/1/2020,CN,Jieyang,pm25,143,50.0,154,93.0,11552.3,1001985,23.5418,116.36581000000001
1/1/2020,CN,Hegang,pm25,95,21.0,147,85.0,6613.67,743307,47.35118,130.30012
1/1/2020,CN,Wuxi,pm25,183,34.0,117,80.0,2182.13,3543719,31.56887,120.28856999999999
1/1/2020,IN,Bengaluru,pm25,144,30.0,157,89.0,8643.84,5104047,12.97194,77.59369000000001
1/1/2020,IN,Thiruvananthapuram,pm25,24,35.0,156,100.0,13529.5,784153,8.4855,76.94924
1/1/2020,IN,Muzaffarnagar,pm25,11,156.0,369,296.0,55762.5,349706,29.470909999999996,77.70331999999999
1/1/2020,IN,Patna,pm25,48,189.0,611,327.0,105697.0,1599920,25.594079999999998,85.13563
1/1/2020,IN,Jaipur,pm25,69,80.0,215,151.0,7062.77,2711758,26.919620000000002,75.78781
1/1/2020,IN,Mumbai,pm25,310,66.0,824,179.0,58199.0,12691836,19.07283,72.88261
1/1/2020,IN,Visakhapatnam,pm25,24,91.0,160,156.0,1864.06,1063178,17.68009,83.20161
1/1/2020,IN,Mysore,pm25,41,31.0,126,72.0,4569.76,868313,12.29791,76.63925
1/1/2020,IN,Nashik,pm25,24,69.0,202,143.0,19595.6,1289497,19.99727,73.79096
1/1/2020,IN,Chennai,pm25,96,7.0,157,68.0,10268.0,4328063,13.08784,80.27847
1/1/2020,IN,Gandhinagar,pm25,72,102.0,238,162.0,7005.04,195985,23.21667,72.68333
1/1/2020,IN,Lucknow,pm25,95,110.0,664,311.0,187615.0,2472011,26.83928,80.92313
1/1/2020,IN,Nagpur,pm25,24,59.0,126,87.0,4361.14,2228018,21.14631,79.08491
1/1/2020,IN,Bhopal,pm25,47,72.0,210,150.0,16373.2,1599914,23.25469,77.40289
1/1/2020,IN,Chandigarh,pm25,96,58.0,217,164.0,18058.2,960787,30.736290000000004,76.7884
1/1/2020,IN,Delhi,pm25,874,102.0,999,392.0,314482.0,10927986,28.65195,77.23149000000001
1/1/2020,IN,Hyderabad,pm25,127,64.0,161,112.0,7154.03,3597816,17.38405,78.45636
1/1/2020,IN,Shillong,pm25,41,15.0,457,117.0,108355.0,132842,25.568920000000002,91.88313000000001
1/1/2020,CN,Anyang,pm25,295,57.0,198,142.0,7215.88,781129,36.096,114.38278000000001
1/1/2020,IN,Kolkata,pm25,192,154.0,999,198.0,165145.0,4631392,22.56263,88.36304
1/1/2020,IT,Bologna,pm25,96,82.0,87,82.0,63.16,366133,44.493809999999996,11.33875
1/1/2020,CN,Taiyuan,pm25,230,117.0,220,162.0,1718.8,3426519,37.869440000000004,112.56028
1/1/2020,CN,Guangzhou,pm25,520,89.0,151,117.0,1775.05,11071424,23.116670000000003,113.25
1/1/2020,CN,Fuzhou,pm25,120,42.0,99,72.0,1602.17,1179720,26.06139,119.30611
1/1/2020,CN,Xiamen,pm25,70,21.0,112,57.0,3625.18,3531347,24.479789999999998,118.08187
1/1/2020,CN,Dongguan,pm25,165,89.0,169,124.0,4180.35,8000000,23.017970000000002,113.74866000000002
1/1/2020,IN,New Delhi,pm25,24,178.0,618,383.0,209723.0,317797,28.635759999999998,77.22445
1/1/2020,IT,Parma,pm25,192,55.0,147,119.0,6546.44,146299,44.79935,10.32618
1/1/2020,IT,Brescia,pm25,48,102.0,161,102.0,8887.66,184826,45.535579999999996,10.21472
1/1/2020,IT,Milan,pm25,96,165.0,202,187.0,1785.47,1236837,45.46427,9.18951
1/1/2020,IT,Turin,pm25,72,107.0,155,147.0,4470.99,870456,45.07049,7.68682
1/1/2020,IT,Rome,pm25,192,70.0,149,107.0,4833.77,2318895,41.89193,12.511330000000001
1/1/2020,IT,Naples,pm25,101,1.0,679,163.0,191296.0,959470,40.85216,14.26811
1/1/2020,IT,Florence,pm25,48,142.0,155,142.0,431.49,349296,43.77925,11.246260000000001
1/1/2020,IT,Prato,pm25,72,170.0,185,182.0,425.91,181820,43.8805,11.09699
1/1/2020,IT,Modena,pm25,144,82.0,160,155.0,12797.8,158886,44.64783,10.92539
1/1/2020,IT,Trieste,pm25,72,70.0,91,70.0,993.8,187056,45.64953,13.776779999999999
