Province/State,Country/Region,Lat,Long,Date,Value,ISO 3166-1 Alpha 3-Codes,Region Code,Sub-region Code,Intermediate Region Code
,Afghanistan,33,65,4/27/2020,57,AFG,142,34,
,Afghanistan,33,65,4/26/2020,50,AFG,142,34,
,Afghanistan,33,65,4/25/2020,47,AFG,142,34,
,Afghanistan,33,65,4/24/2020,43,AFG,142,34,
,Afghanistan,33,65,4/23/2020,42,AFG,142,34,
,Afghanistan,33,65,4/22/2020,40,AFG,142,34,
,Afghanistan,33,65,4/21/2020,36,AFG,142,34,
,Afghanistan,33,65,4/20/2020,36,AFG,142,34,
,Afghanistan,33,65,4/19/2020,33,AFG,142,34,
,Afghanistan,33,65,4/18/2020,30,AFG,142,34,
,Afghanistan,33,65,4/17/2020,30,AFG,142,34,
,Afghanistan,33,65,4/16/2020,30,AFG,142,34,
,Afghanistan,33,65,4/15/2020,25,AFG,142,34,
,Afghanistan,33,65,4/14/2020,23,AFG,142,34,
,Afghanistan,33,65,4/13/2020,21,AFG,142,34,
,Afghanistan,33,65,4/12/2020,18,AFG,142,34,
,Afghanistan,33,65,4/11/2020,18,AFG,142,34,
,Afghanistan,33,65,4/10/2020,15,AFG,142,34,
,Afghanistan,33,65,4/9/2020,15,AFG,142,34,
,Afghanistan,33,65,4/8/2020,14,AFG,142,34,
,Afghanistan,33,65,4/7/2020,14,AFG,142,34,
,Afghanistan,33,65,4/6/2020,11,AFG,142,34,
,Afghanistan,33,65,4/5/2020,7,AFG,142,34,
,Afghanistan,33,65,4/4/2020,7,AFG,142,34,
,Afghanistan,33,65,4/3/2020,6,AFG,142,34,
,Afghanistan,33,65,4/2/2020,6,AFG,142,34,
,Afghanistan,33,65,4/1/2020,4,AFG,142,34,
,Afghanistan,33,65,3/31/2020,4,AFG,142,34,
,Afghanistan,33,65,3/30/2020,4,AFG,142,34,
,Afghanistan,33,65,3/29/2020,4,AFG,142,34,
,Afghanistan,33,65,3/28/2020,4,AFG,142,34,
,Afghanistan,33,65,3/27/2020,4,AFG,142,34,
,Afghanistan,33,65,3/26/2020,4,AFG,142,34,
,Afghanistan,33,65,3/25/2020,2,AFG,142,34,
,Afghanistan,33,65,3/24/2020,1,AFG,142,34,
,Afghanistan,33,65,3/23/2020,1,AFG,142,34,
,Afghanistan,33,65,3/22/2020,1,AFG,142,34,
,Afghanistan,33,65,3/21/2020,0,AFG,142,34,
,Afghanistan,33,65,3/20/2020,0,AFG,142,34,
,Afghanistan,33,65,3/19/2020,0,AFG,142,34,
,Afghanistan,33,65,3/18/2020,0,AFG,142,34,
,Afghanistan,33,65,3/17/2020,0,AFG,142,34,
,Afghanistan,33,65,3/16/2020,0,AFG,142,34,
,Afghanistan,33,65,3/15/2020,0,AFG,142,34,
,Afghanistan,33,65,3/14/2020,0,AFG,142,34,
,Afghanistan,33,65,3/13/2020,0,AFG,142,34,
,Afghanistan,33,65,3/12/2020,0,AFG,142,34,
,Afghanistan,33,65,3/11/2020,0,AFG,142,34,
,Afghanistan,33,65,3/10/2020,0,AFG,142,34,
,Afghanistan,33,65,3/9/2020,0,AFG,142,34,
,Afghanistan,33,65,3/8/2020,0,AFG,142,34,
,Afghanistan,33,65,3/7/2020,0,AFG,142,34,
,Afghanistan,33,65,3/6/2020,0,AFG,142,34,
,Afghanistan,33,65,3/5/2020,0,AFG,142,34,
,Afghanistan,33,65,3/4/2020,0,AFG,142,34,
,Afghanistan,33,65,3/3/2020,0,AFG,142,34,
,Afghanistan,33,65,3/2/2020,0,AFG,142,34,
,Afghanistan,33,65,3/1/2020,0,AFG,142,34,
,Afghanistan,33,65,2/29/2020,0,AFG,142,34,
,Afghanistan,33,65,2/28/2020,0,AFG,142,34,
,Afghanistan,33,65,2/27/2020,0,AFG,142,34,
,Afghanistan,33,65,2/26/2020,0,AFG,142,34,
,Afghanistan,33,65,2/25/2020,0,AFG,142,34,
,Afghanistan,33,65,2/24/2020,0,AFG,142,34,
,Afghanistan,33,65,2/23/2020,0,AFG,142,34,
,Afghanistan,33,65,2/22/2020,0,AFG,142,34,
,Afghanistan,33,65,2/21/2020,0,AFG,142,34,
,Afghanistan,33,65,2/20/2020,0,AFG,142,34,
,Afghanistan,33,65,2/19/2020,0,AFG,142,34,
,Afghanistan,33,65,2/18/2020,0,AFG,142,34,
,Afghanistan,33,65,2/17/2020,0,AFG,142,34,
,Afghanistan,33,65,2/16/2020,0,AFG,142,34,
,Afghanistan,33,65,2/15/2020,0,AFG,142,34,
,Afghanistan,33,65,2/14/2020,0,AFG,142,34,
,Afghanistan,33,65,2/13/2020,0,AFG,142,34,
,Afghanistan,33,65,2/12/2020,0,AFG,142,34,
,Afghanistan,33,65,2/11/2020,0,AFG,142,34,
,Afghanistan,33,65,2/10/2020,0,AFG,142,34,
,Afghanistan,33,65,2/9/2020,0,AFG,142,34,
,Afghanistan,33,65,2/8/2020,0,AFG,142,34,
,Afghanistan,33,65,2/7/2020,0,AFG,142,34,
,Afghanistan,33,65,2/6/2020,0,AFG,142,34,
,Afghanistan,33,65,2/5/2020,0,AFG,142,34,
,Afghanistan,33,65,2/4/2020,0,AFG,142,34,
,Afghanistan,33,65,2/3/2020,0,AFG,142,34,
,Afghanistan,33,65,2/2/2020,0,AFG,142,34,
,Afghanistan,33,65,2/1/2020,0,AFG,142,34,
,Afghanistan,33,65,1/31/2020,0,AFG,142,34,
,Afghanistan,33,65,1/30/2020,0,AFG,142,34,
,Afghanistan,33,65,1/29/2020,0,AFG,142,34,
,Afghanistan,33,65,1/28/2020,0,AFG,142,34,
,Afghanistan,33,65,1/27/2020,0,AFG,142,34,
,Afghanistan,33,65,1/26/2020,0,AFG,142,34,
,Afghanistan,33,65,1/25/2020,0,AFG,142,34,
,Afghanistan,33,65,1/24/2020,0,AFG,142,34,
,Afghanistan,33,65,1/23/2020,0,AFG,142,34,
,Afghanistan,33,65,1/22/2020,0,AFG,142,34,
,Albania,41.1533,20.1683,4/27/2020,28,ALB,150,39,
,Albania,41.1533,20.1683,4/26/2020,28,ALB,150,39,
,Albania,41.1533,20.1683,4/25/2020,27,ALB,150,39,
,Albania,41.1533,20.1683,4/24/2020,27,ALB,150,39,
,Albania,41.1533,20.1683,4/23/2020,27,ALB,150,39,
,Albania,41.1533,20.1683,4/22/2020,27,ALB,150,39,
,Albania,41.1533,20.1683,4/21/2020,26,ALB,150,39,
,Albania,41.1533,20.1683,4/20/2020,26,ALB,150,39,
,Albania,41.1533,20.1683,4/19/2020,26,ALB,150,39,
,Albania,41.1533,20.1683,4/18/2020,26,ALB,150,39,
,Albania,41.1533,20.1683,4/17/2020,26,ALB,150,39,
,Albania,41.1533,20.1683,4/16/2020,26,ALB,150,39,
,Albania,41.1533,20.1683,4/15/2020,25,ALB,150,39,
,Albania,41.1533,20.1683,4/14/2020,24,ALB,150,39,
,Albania,41.1533,20.1683,4/13/2020,23,ALB,150,39,
,Albania,41.1533,20.1683,4/12/2020,23,ALB,150,39,
,Albania,41.1533,20.1683,4/11/2020,23,ALB,150,39,
,Albania,41.1533,20.1683,4/10/2020,23,ALB,150,39,
,Albania,41.1533,20.1683,4/9/2020,23,ALB,150,39,
,Albania,41.1533,20.1683,4/8/2020,22,ALB,150,39,
,Albania,41.1533,20.1683,4/7/2020,22,ALB,150,39,
,Albania,41.1533,20.1683,4/6/2020,21,ALB,150,39,
,Albania,41.1533,20.1683,4/5/2020,20,ALB,150,39,
,Albania,41.1533,20.1683,4/4/2020,20,ALB,150,39,
,Albania,41.1533,20.1683,4/3/2020,17,ALB,150,39,
,Albania,41.1533,20.1683,4/2/2020,16,ALB,150,39,
,Albania,41.1533,20.1683,4/1/2020,15,ALB,150,39,
,Albania,41.1533,20.1683,3/31/2020,15,ALB,150,39,
,Albania,41.1533,20.1683,3/30/2020,11,ALB,150,39,
,Albania,41.1533,20.1683,3/29/2020,10,ALB,150,39,
,Albania,41.1533,20.1683,3/28/2020,10,ALB,150,39,
,Albania,41.1533,20.1683,3/27/2020,8,ALB,150,39,
,Albania,41.1533,20.1683,3/26/2020,6,ALB,150,39,
,Albania,41.1533,20.1683,3/25/2020,5,ALB,150,39,
,Albania,41.1533,20.1683,3/24/2020,5,ALB,150,39,
,Albania,41.1533,20.1683,3/23/2020,4,ALB,150,39,
,Albania,41.1533,20.1683,3/22/2020,2,ALB,150,39,
,Albania,41.1533,20.1683,3/21/2020,2,ALB,150,39,
,Albania,41.1533,20.1683,3/20/2020,2,ALB,150,39,
,Albania,41.1533,20.1683,3/19/2020,2,ALB,150,39,
,Albania,41.1533,20.1683,3/18/2020,2,ALB,150,39,
,Albania,41.1533,20.1683,3/17/2020,1,ALB,150,39,
,Albania,41.1533,20.1683,3/16/2020,1,ALB,150,39,
,Albania,41.1533,20.1683,3/15/2020,1,ALB,150,39,
,Albania,41.1533,20.1683,3/14/2020,1,ALB,150,39,
,Albania,41.1533,20.1683,3/13/2020,1,ALB,150,39,
,Albania,41.1533,20.1683,3/12/2020,1,ALB,150,39,
,Albania,41.1533,20.1683,3/11/2020,1,ALB,150,39,
,Albania,41.1533,20.1683,3/10/2020,0,ALB,150,39,
,Albania,41.1533,20.1683,3/9/2020,0,ALB,150,39,
,Albania,41.1533,20.1683,3/8/2020,0,ALB,150,39,
,Albania,41.1533,20.1683,3/7/2020,0,ALB,150,39,
,Albania,41.1533,20.1683,3/6/2020,0,ALB,150,39,
,Albania,41.1533,20.1683,3/5/2020,0,ALB,150,39,
,Albania,41.1533,20.1683,3/4/2020,0,ALB,150,39,
,Albania,41.1533,20.1683,3/3/2020,0,ALB,150,39,
,Albania,41.1533,20.1683,3/2/2020,0,ALB,150,39,
,Albania,41.1533,20.1683,3/1/2020,0,ALB,150,39,
,Albania,41.1533,20.1683,2/29/2020,0,ALB,150,39,
,Albania,41.1533,20.1683,2/28/2020,0,ALB,150,39,
,Albania,41.1533,20.1683,2/27/2020,0,ALB,150,39,
,Albania,41.1533,20.1683,2/26/2020,0,ALB,150,39,
,Albania,41.1533,20.1683,2/25/2020,0,ALB,150,39,
,Albania,41.1533,20.1683,2/24/2020,0,ALB,150,39,
,Albania,41.1533,20.1683,2/23/2020,0,ALB,150,39,
,Albania,41.1533,20.1683,2/22/2020,0,ALB,150,39,
,Albania,41.1533,20.1683,2/21/2020,0,ALB,150,39,
,Albania,41.1533,20.1683,2/20/2020,0,ALB,150,39,
,Albania,41.1533,20.1683,2/19/2020,0,ALB,150,39,
,Albania,41.1533,20.1683,2/18/2020,0,ALB,150,39,
,Albania,41.1533,20.1683,2/17/2020,0,ALB,150,39,
,Albania,41.1533,20.1683,2/16/2020,0,ALB,150,39,
,Albania,41.1533,20.1683,2/15/2020,0,ALB,150,39,
,Albania,41.1533,20.1683,2/14/2020,0,ALB,150,39,
,Albania,41.1533,20.1683,2/13/2020,0,ALB,150,39,
,Albania,41.1533,20.1683,2/12/2020,0,ALB,150,39,
,Albania,41.1533,20.1683,2/11/2020,0,ALB,150,39,
,Albania,41.1533,20.1683,2/10/2020,0,ALB,150,39,
,Albania,41.1533,20.1683,2/9/2020,0,ALB,150,39,
,Albania,41.1533,20.1683,2/8/2020,0,ALB,150,39,
,Albania,41.1533,20.1683,2/7/2020,0,ALB,150,39,
,Albania,41.1533,20.1683,2/6/2020,0,ALB,150,39,
,Albania,41.1533,20.1683,2/5/2020,0,ALB,150,39,
,Albania,41.1533,20.1683,2/4/2020,0,ALB,150,39,
,Albania,41.1533,20.1683,2/3/2020,0,ALB,150,39,
,Albania,41.1533,20.1683,2/2/2020,0,ALB,150,39,
,Albania,41.1533,20.1683,2/1/2020,0,ALB,150,39,
,Albania,41.1533,20.1683,1/31/2020,0,ALB,150,39,
,Albania,41.1533,20.1683,1/30/2020,0,ALB,150,39,
,Albania,41.1533,20.1683,1/29/2020,0,ALB,150,39,
,Albania,41.1533,20.1683,1/28/2020,0,ALB,150,39,
,Albania,41.1533,20.1683,1/27/2020,0,ALB,150,39,
,Albania,41.1533,20.1683,1/26/2020,0,ALB,150,39,
,Albania,41.1533,20.1683,1/25/2020,0,ALB,150,39,
,Albania,41.1533,20.1683,1/24/2020,0,ALB,150,39,
,Albania,41.1533,20.1683,1/23/2020,0,ALB,150,39,
,Albania,41.1533,20.1683,1/22/2020,0,ALB,150,39,
,Algeria,28.0339,1.6596,4/27/2020,432,DZA,2,15,
,Algeria,28.0339,1.6596,4/26/2020,425,DZA,2,15,
,Algeria,28.0339,1.6596,4/25/2020,419,DZA,2,15,
,Algeria,28.0339,1.6596,4/24/2020,415,DZA,2,15,
,Algeria,28.0339,1.6596,4/23/2020,407,DZA,2,15,
,Algeria,28.0339,1.6596,4/22/2020,402,DZA,2,15,
,Algeria,28.0339,1.6596,4/21/2020,392,DZA,2,15,
,Algeria,28.0339,1.6596,4/20/2020,384,DZA,2,15,
,Algeria,28.0339,1.6596,4/19/2020,375,DZA,2,15,
,Algeria,28.0339,1.6596,4/18/2020,367,DZA,2,15,
,Algeria,28.0339,1.6596,4/17/2020,364,DZA,2,15,
,Algeria,28.0339,1.6596,4/16/2020,348,DZA,2,15,
,Algeria,28.0339,1.6596,4/15/2020,336,DZA,2,15,
,Algeria,28.0339,1.6596,4/14/2020,326,DZA,2,15,
,Algeria,28.0339,1.6596,4/13/2020,313,DZA,2,15,
,Algeria,28.0339,1.6596,4/12/2020,293,DZA,2,15,
,Algeria,28.0339,1.6596,4/11/2020,275,DZA,2,15,
,Algeria,28.0339,1.6596,4/10/2020,256,DZA,2,15,
,Algeria,28.0339,1.6596,4/9/2020,235,DZA,2,15,
,Algeria,28.0339,1.6596,4/8/2020,205,DZA,2,15,
,Algeria,28.0339,1.6596,4/7/2020,193,DZA,2,15,
,Algeria,28.0339,1.6596,4/6/2020,173,DZA,2,15,
,Algeria,28.0339,1.6596,4/5/2020,152,DZA,2,15,
,Algeria,28.0339,1.6596,4/4/2020,130,DZA,2,15,
,Algeria,28.0339,1.6596,4/3/2020,105,DZA,2,15,
,Algeria,28.0339,1.6596,4/2/2020,86,DZA,2,15,
,Algeria,28.0339,1.6596,4/1/2020,58,DZA,2,15,
,Algeria,28.0339,1.6596,3/31/2020,44,DZA,2,15,
,Algeria,28.0339,1.6596,3/30/2020,35,DZA,2,15,
,Algeria,28.0339,1.6596,3/29/2020,31,DZA,2,15,
,Algeria,28.0339,1.6596,3/28/2020,29,DZA,2,15,
,Algeria,28.0339,1.6596,3/27/2020,26,DZA,2,15,
,Algeria,28.0339,1.6596,3/26/2020,25,DZA,2,15,
,Algeria,28.0339,1.6596,3/25/2020,21,DZA,2,15,
,Algeria,28.0339,1.6596,3/24/2020,19,DZA,2,15,
,Algeria,28.0339,1.6596,3/23/2020,17,DZA,2,15,
,Algeria,28.0339,1.6596,3/22/2020,17,DZA,2,15,
,Algeria,28.0339,1.6596,3/21/2020,15,DZA,2,15,
,Algeria,28.0339,1.6596,3/20/2020,11,DZA,2,15,
,Algeria,28.0339,1.6596,3/19/2020,9,DZA,2,15,
,Algeria,28.0339,1.6596,3/18/2020,7,DZA,2,15,
,Algeria,28.0339,1.6596,3/17/2020,4,DZA,2,15,
,Algeria,28.0339,1.6596,3/16/2020,4,DZA,2,15,
,Algeria,28.0339,1.6596,3/15/2020,4,DZA,2,15,
,Algeria,28.0339,1.6596,3/14/2020,3,DZA,2,15,
,Algeria,28.0339,1.6596,3/13/2020,2,DZA,2,15,
,Algeria,28.0339,1.6596,3/12/2020,1,DZA,2,15,
,Algeria,28.0339,1.6596,3/11/2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,3/10/2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,3/9/2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,3/8/2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,3/7/2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,3/6/2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,3/5/2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,3/4/2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,3/3/2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,3/2/2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,3/1/2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,2/29/2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,2/28/2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,2/27/2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,2/26/2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,2/25/2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,2/24/2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,2/23/2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,2/22/2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,2/21/2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,2/20/2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,2/19/2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,2/18/2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,2/17/2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,2/16/2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,2/15/2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,2/14/2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,2/13/2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,2/12/2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,2/11/2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,2/10/2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,2/9/2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,2/8/2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,2/7/2020,0,DZA,2,15,
