,Date,Country,City,Specie,count,min,max,median,variance
37841,2019-10-02,US,Raleigh,pm25,71,5.0,80.0,57.0,1521.78
37842,2019-10-19,US,Raleigh,pm25,72,13.0,63.0,38.0,1729.17
37843,2019-11-05,US,Raleigh,pm25,70,17.0,55.0,38.0,856.36
37844,2019-11-07,US,Raleigh,pm25,68,9.0,63.0,42.0,1090.18
37845,2019-12-02,US,Raleigh,pm25,62,5.0,42.0,13.0,1095.94
37846,2019-12-23,US,Raleigh,pm25,72,17.0,74.0,46.0,1523.65
37847,2019-10-06,US,Raleigh,pm25,72,9.0,52.0,25.0,636.88
37848,2019-10-20,US,Raleigh,pm25,49,5.0,38.0,9.0,837.13
37849,2019-11-19,US,Raleigh,pm25,69,9.0,68.0,34.0,1642.15
37850,2019-12-03,US,Raleigh,pm25,68,5.0,53.0,13.0,997.15
37851,2019-12-21,US,Raleigh,pm25,72,17.0,97.0,50.0,1615.58
37852,2019-12-30,US,Raleigh,pm25,64,5.0,38.0,13.0,581.92
37853,2020-01-03,US,Raleigh,pm25,66,9.0,63.0,38.0,1695.07
37854,2019-10-10,US,Raleigh,pm25,64,5.0,68.0,17.0,1183.63
37855,2019-10-13,US,Raleigh,pm25,72,9.0,63.0,42.0,1132.24
37856,2019-10-15,US,Raleigh,pm25,69,9.0,57.0,34.0,1323.79
37857,2019-10-25,US,Raleigh,pm25,72,5.0,59.0,34.0,1183.16
37858,2019-11-22,US,Raleigh,pm25,59,34.0,80.0,55.0,1075.27
37859,2019-12-06,US,Raleigh,pm25,72,17.0,72.0,50.0,1395.35
37860,2019-12-14,US,Raleigh,pm25,58,4.0,29.0,9.0,506.6
37861,2020-01-04,US,Raleigh,pm25,41,5.0,38.0,13.0,658.7
37862,2019-12-19,US,Raleigh,pm25,69,9.0,63.0,30.0,1602.5
37863,2019-10-04,US,Raleigh,pm25,68,5.0,76.0,59.0,2320.89
37864,2019-10-17,US,Raleigh,pm25,62,5.0,30.0,13.0,356.67
37865,2019-10-22,US,Raleigh,pm25,68,5.0,50.0,25.0,1177.6
37866,2019-11-14,US,Raleigh,pm25,67,13.0,134.0,38.0,2798.0
37867,2019-11-21,US,Raleigh,pm25,69,21.0,70.0,46.0,845.18
37868,2019-11-29,US,Raleigh,pm25,66,5.0,74.0,21.0,2717.85
37869,2019-12-18,US,Raleigh,pm25,69,5.0,38.0,17.0,810.41
37870,2019-12-24,US,Raleigh,pm25,70,5.0,59.0,25.0,981.79
37871,2020-01-02,US,Raleigh,pm25,71,13.0,72.0,38.0,2083.47
37872,2019-12-08,US,Raleigh,pm25,72,5.0,53.0,25.0,1118.47
37873,2019-11-01,US,Raleigh,pm25,54,5.0,59.0,13.0,1144.03
37874,2019-11-02,US,Raleigh,pm25,72,13.0,59.0,34.0,1046.48
37875,2019-11-17,US,Raleigh,pm25,72,5.0,42.0,21.0,657.68
37876,2019-11-25,US,Raleigh,pm25,72,9.0,57.0,30.0,1569.86
37877,2019-12-10,US,Raleigh,pm25,63,5.0,97.0,38.0,3942.89
37878,2019-12-20,US,Raleigh,pm25,68,13.0,78.0,46.0,2101.87
37879,2020-01-01,US,Raleigh,pm25,69,4.0,76.0,25.0,2946.08
37880,2019-11-15,US,Raleigh,pm25,71,5.0,53.0,34.0,1297.65
37881,2019-11-20,US,Raleigh,pm25,71,17.0,68.0,46.0,2165.39
37882,2019-12-05,US,Raleigh,pm25,68,9.0,57.0,30.0,1860.67
37883,2019-12-17,US,Raleigh,pm25,63,4.0,97.0,21.0,3709.02
37884,2019-12-13,US,Raleigh,pm25,68,5.0,42.0,29.0,938.64
37885,2019-10-05,US,Raleigh,pm25,69,5.0,46.0,17.0,490.15
37886,2019-10-14,US,Raleigh,pm25,68,9.0,57.0,29.0,1350.3
37887,2019-10-28,US,Raleigh,pm25,70,5.0,46.0,21.0,1051.06
37888,2019-11-03,US,Raleigh,pm25,68,13.0,57.0,30.0,1402.4
37889,2019-11-04,US,Raleigh,pm25,71,9.0,57.0,34.0,1489.85
37890,2019-11-12,US,Raleigh,pm25,64,5.0,59.0,34.0,2894.59
37891,2019-11-23,US,Raleigh,pm25,72,5.0,85.0,30.0,3621.97
37892,2019-12-16,US,Raleigh,pm25,70,9.0,91.0,42.0,2028.85
37893,2019-12-11,US,Raleigh,pm25,60,5.0,52.0,17.0,1050.33
37894,2019-10-12,US,Raleigh,pm25,72,9.0,61.0,30.0,1408.42
37895,2019-10-16,US,Raleigh,pm25,66,5.0,72.0,34.0,3775.17
37896,2019-10-18,US,Raleigh,pm25,66,5.0,57.0,21.0,1170.82
37897,2019-10-30,US,Raleigh,pm25,71,5.0,127.0,30.0,2756.19
37898,2019-11-16,US,Raleigh,pm25,71,9.0,57.0,38.0,1514.16
37899,2019-11-27,US,Raleigh,pm25,70,30.0,107.0,53.0,1066.46
37900,2019-11-30,US,Raleigh,pm25,71,25.0,89.0,53.0,2121.53
37901,2019-12-22,US,Raleigh,pm25,72,42.0,82.0,63.0,1230.86
37902,2019-12-12,US,Raleigh,pm25,70,9.0,50.0,30.0,895.92
37903,2019-10-08,US,Raleigh,pm25,62,4.0,38.0,17.0,622.9
37904,2019-10-09,US,Raleigh,pm25,60,5.0,30.0,17.0,410.2
37905,2019-10-21,US,Raleigh,pm25,61,5.0,42.0,17.0,895.16
37906,2019-10-26,US,Raleigh,pm25,69,5.0,59.0,34.0,2194.67
37907,2019-10-27,US,Raleigh,pm25,68,1.0,55.0,21.0,810.63
37908,2019-10-31,US,Raleigh,pm25,70,5.0,46.0,17.0,750.89
