,Date,Country,City,Specie,count,min,max,median,variance
111217,2020-03-08,IT,Florence,pm25,48,50.0,53.0,50.0,22.98
111218,2020-03-18,IT,Florence,pm25,48,59.0,59.0,59.0,0.0
111219,2020-03-31,IT,Florence,pm25,48,21.0,25.0,21.0,40.85
111220,2020-04-14,IT,Florence,pm25,48,42.0,46.0,42.0,40.85
111221,2020-03-03,IT,Florence,pm25,48,21.0,34.0,21.0,431.49
111222,2020-01-18,IT,Florence,pm25,48,104.0,107.0,104.0,22.98
111223,2020-03-07,IT,Florence,pm25,48,25.0,46.0,25.0,1125.96
111224,2020-03-24,IT,Florence,pm25,48,38.0,42.0,38.0,40.85
111225,2020-04-19,IT,Florence,pm25,48,55.0,57.0,55.0,10.21
111226,2020-01-13,IT,Florence,pm25,48,87.0,93.0,87.0,91.91
111227,2020-01-14,IT,Florence,pm25,48,122.0,134.0,122.0,367.66
111228,2020-02-13,IT,Florence,pm25,48,46.0,46.0,46.0,0.0
111229,2020-02-21,IT,Florence,pm25,24,70.0,70.0,70.0,0.0
111230,2020-02-22,IT,Florence,pm25,48,78.0,78.0,78.0,0.0
111231,2020-04-02,IT,Florence,pm25,48,42.0,46.0,42.0,40.85
111232,2020-04-05,IT,Florence,pm25,48,50.0,50.0,50.0,0.0
111233,2020-01-12,IT,Florence,pm25,48,63.0,68.0,63.0,63.83
111235,2020-01-15,IT,Florence,pm25,48,122.0,124.0,122.0,10.21
111236,2020-02-17,IT,Florence,pm25,48,63.0,65.0,63.0,10.21
111237,2020-03-09,IT,Florence,pm25,48,53.0,59.0,53.0,91.91
111238,2020-03-22,IT,Florence,pm25,48,53.0,55.0,53.0,10.21
111240,2020-01-25,IT,Florence,pm25,48,68.0,80.0,68.0,367.66
111242,2020-02-01,IT,Florence,pm25,48,42.0,55.0,42.0,431.49
111243,2020-02-15,IT,Florence,pm25,48,57.0,61.0,57.0,40.85
111244,2020-04-25,IT,Florence,pm25,48,46.0,46.0,46.0,0.0
111245,2020-01-19,IT,Florence,pm25,48,46.0,61.0,46.0,574.47
111246,2020-04-06,IT,Florence,pm25,48,63.0,63.0,63.0,0.0
111247,2020-04-17,IT,Florence,pm25,48,42.0,42.0,42.0,0.0
111248,2020-04-22,IT,Florence,pm25,48,46.0,46.0,46.0,0.0
111249,2020-04-23,IT,Florence,pm25,48,55.0,57.0,55.0,10.21
111250,2020-04-24,IT,Florence,pm25,48,59.0,59.0,59.0,0.0
111251,2020-03-05,IT,Florence,pm25,48,42.0,53.0,42.0,308.94
111253,2020-02-18,IT,Florence,pm25,24,46.0,46.0,46.0,0.0
111254,2020-02-19,IT,Florence,pm25,24,55.0,55.0,55.0,0.0
111256,2020-01-28,IT,Florence,pm25,48,30.0,34.0,30.0,40.85
111257,2020-02-05,IT,Florence,pm25,48,21.0,34.0,21.0,431.49
111258,2020-04-07,IT,Florence,pm25,48,61.0,63.0,61.0,10.21
111259,2020-04-28,IT,Florence,pm25,48,25.0,30.0,25.0,63.83
111260,2020-01-27,IT,Florence,pm25,48,65.0,78.0,65.0,431.49
111261,2020-03-11,IT,Florence,pm25,48,57.0,57.0,57.0,0.0
111262,2020-03-17,IT,Florence,pm25,48,57.0,59.0,57.0,10.21
111263,2020-03-19,IT,Florence,pm25,48,57.0,59.0,57.0,10.21
111264,2020-04-03,IT,Florence,pm25,48,50.0,50.0,50.0,0.0
111265,2020-04-08,IT,Florence,pm25,48,53.0,55.0,53.0,10.21
111266,2020-04-13,IT,Florence,pm25,48,53.0,55.0,53.0,10.21
111267,2020-01-29,IT,Florence,pm25,48,42.0,46.0,42.0,40.85
111268,2020-04-21,IT,Florence,pm25,24,34.0,34.0,34.0,0.0
111269,2020-02-07,IT,Florence,pm25,48,63.0,68.0,63.0,63.83
111270,2020-02-11,IT,Florence,pm25,48,38.0,50.0,38.0,367.66
111271,2020-02-25,IT,Florence,pm25,48,57.0,61.0,57.0,40.85
111272,2020-03-23,IT,Florence,pm25,48,25.0,30.0,25.0,63.83
111273,2020-03-27,IT,Florence,pm25,48,46.0,53.0,46.0,125.11
111274,2020-04-09,IT,Florence,pm25,48,55.0,57.0,55.0,10.21
111275,2020-04-15,IT,Florence,pm25,48,25.0,25.0,25.0,0.0
111277,2020-02-09,IT,Florence,pm25,48,97.0,104.0,97.0,125.11
111278,2020-02-27,IT,Florence,pm25,48,25.0,38.0,25.0,431.49
111279,2020-03-06,IT,Florence,pm25,48,25.0,25.0,25.0,0.0
111280,2020-01-21,IT,Florence,pm25,48,53.0,59.0,53.0,91.91
111281,2020-01-16,IT,Florence,pm25,48,99.0,104.0,99.0,63.83
111282,2020-01-22,IT,Florence,pm25,48,82.0,85.0,82.0,22.98
111283,2020-02-14,IT,Florence,pm25,48,38.0,57.0,38.0,921.7
111284,2020-04-26,IT,Florence,pm25,48,30.0,38.0,30.0,163.4
111285,2020-01-11,IT,Florence,pm25,48,74.0,78.0,74.0,40.85
111286,2020-04-12,IT,Florence,pm25,48,50.0,53.0,50.0,22.98
111287,2020-02-16,IT,Florence,pm25,48,68.0,70.0,68.0,10.21
111288,2020-02-26,IT,Florence,pm25,48,34.0,38.0,34.0,40.85
111289,2020-03-14,IT,Florence,pm25,48,53.0,55.0,53.0,10.21
111290,2020-03-15,IT,Florence,pm25,48,25.0,25.0,25.0,0.0
111291,2020-01-26,IT,Florence,pm25,48,80.0,85.0,80.0,63.83
111292,2020-02-24,IT,Florence,pm25,48,55.0,59.0,55.0,40.85
111293,2020-02-12,IT,Florence,pm25,48,46.0,50.0,46.0,40.85
111294,2020-03-30,IT,Florence,pm25,48,53.0,53.0,53.0,0.0
111295,2020-04-16,IT,Florence,pm25,48,38.0,38.0,38.0,0.0
111296,2020-04-27,IT,Florence,pm25,48,34.0,34.0,34.0,0.0
111297,2020-01-20,IT,Florence,pm25,48,25.0,30.0,25.0,63.83
111298,2020-02-20,IT,Florence,pm25,24,59.0,59.0,59.0,0.0
111299,2020-02-29,IT,Florence,pm25,48,61.0,70.0,61.0,206.81
111300,2020-04-20,IT,Florence,pm25,48,30.0,38.0,30.0,163.4
111301,2020-01-23,IT,Florence,pm25,48,95.0,97.0,95.0,10.21
111302,2020-03-12,IT,Florence,pm25,48,78.0,82.0,78.0,40.85
111303,2020-03-20,IT,Florence,pm25,48,65.0,72.0,65.0,125.11
111304,2020-03-29,IT,Florence,pm25,46,57.0,70.0,57.0,431.89
111305,2020-02-10,IT,Florence,pm25,48,50.0,55.0,50.0,63.83
111306,2020-02-04,IT,Florence,pm25,48,42.0,50.0,42.0,163.4
111307,2020-02-23,IT,Florence,pm25,48,53.0,55.0,53.0,10.21
111308,2020-03-10,IT,Florence,pm25,48,50.0,61.0,50.0,308.94
111309,2020-01-30,IT,Florence,pm25,48,63.0,63.0,63.0,0.0
111310,2020-03-13,IT,Florence,pm25,48,53.0,57.0,53.0,40.85
111311,2020-02-08,IT,Florence,pm25,48,72.0,78.0,72.0,91.91
111312,2020-03-28,IT,Florence,pm25,48,97.0,99.0,97.0,10.21
111313,2020-02-03,IT,Florence,pm25,48,50.0,61.0,50.0,308.94
111314,2020-04-18,IT,Florence,pm25,48,50.0,53.0,50.0,22.98
111315,2020-04-29,IT,Florence,pm25,48,21.0,25.0,21.0,40.85
111317,2020-04-04,IT,Florence,pm25,48,53.0,53.0,53.0,0.0
111318,2020-02-28,IT,Florence,pm25,48,42.0,55.0,42.0,431.49
111319,2020-03-21,IT,Florence,pm25,48,65.0,65.0,65.0,0.0
111321,2020-03-16,IT,Florence,pm25,48,34.0,42.0,34.0,163.4
111322,2020-01-10,IT,Florence,pm25,48,109.0,122.0,109.0,431.49
111323,2020-02-02,IT,Florence,pm25,48,38.0,53.0,38.0,574.47
111324,2020-03-01,IT,Florence,pm25,48,30.0,30.0,30.0,0.0
111325,2020-03-25,IT,Florence,pm25,48,34.0,34.0,34.0,0.0
111326,2020-01-24,IT,Florence,pm25,48,93.0,114.0,93.0,1125.96
111327,2020-01-31,IT,Florence,pm25,48,57.0,68.0,57.0,308.94
111328,2020-03-04,IT,Florence,pm25,48,30.0,55.0,30.0,1595.74
111329,2020-03-26,IT,Florence,pm25,48,30.0,34.0,30.0,40.85
111330,2020-04-01,IT,Florence,pm25,24,42.0,42.0,42.0,0.0
111331,2020-01-17,IT,Florence,pm25,48,104.0,107.0,104.0,22.98
111332,2020-02-06,IT,Florence,pm25,48,30.0,34.0,30.0,40.85
113761,2020-03-19,IT,Rome,pm25,192,55.0,99.0,78.0,1694.92
113763,2020-01-27,IT,Rome,pm25,192,59.0,91.0,70.0,1074.97
113764,2020-02-13,IT,Rome,pm25,192,50.0,65.0,59.0,276.28
113765,2020-03-13,IT,Rome,pm25,192,53.0,78.0,59.0,755.03
113766,2020-03-27,IT,Rome,pm25,192,9.0,57.0,17.0,2736.13
113767,2020-04-17,IT,Rome,pm25,120,34.0,46.0,38.0,232.34
113768,2020-01-14,IT,Rome,pm25,192,87.0,112.0,102.0,594.19
113769,2020-03-08,IT,Rome,pm25,192,13.0,42.0,30.0,662.04
113770,2020-01-16,IT,Rome,pm25,192,91.0,147.0,117.0,2416.96
113771,2020-01-21,IT,Rome,pm25,192,59.0,80.0,65.0,376.34
113772,2020-04-09,IT,Rome,pm25,192,68.0,87.0,74.0,398.17
113773,2020-04-16,IT,Rome,pm25,168,34.0,46.0,42.0,131.39
113775,2020-01-12,IT,Rome,pm25,192,63.0,127.0,95.0,3003.14
113776,2020-03-10,IT,Rome,pm25,192,38.0,63.0,53.0,638.17
113777,2020-03-25,IT,Rome,pm25,168,9.0,55.0,25.0,1867.85
113778,2020-03-29,IT,Rome,pm25,184,25.0,82.0,65.0,2519.79
113779,2020-04-08,IT,Rome,pm25,192,74.0,85.0,78.0,165.86
113780,2020-02-09,IT,Rome,pm25,192,68.0,95.0,80.0,653.4
113781,2020-03-03,IT,Rome,pm25,192,17.0,46.0,30.0,861.36
113782,2020-04-11,IT,Rome,pm25,192,63.0,78.0,70.0,374.29
113783,2020-04-14,IT,Rome,pm25,192,50.0,61.0,53.0,209.69
113784,2020-04-27,IT,Rome,pm25,192,30.0,46.0,34.0,271.41
113785,2020-03-16,IT,Rome,pm25,168,30.0,72.0,57.0,1379.23
113786,2020-04-01,IT,Rome,pm25,144,34.0,46.0,34.0,214.82
113788,2020-01-10,IT,Rome,pm25,168,97.0,117.0,109.0,459.47
113789,2020-02-05,IT,Rome,pm25,144,9.0,21.0,17.0,183.5
113790,2020-02-16,IT,Rome,pm25,192,68.0,91.0,78.0,410.73
113791,2020-02-29,IT,Rome,pm25,168,34.0,53.0,46.0,421.69
113792,2020-03-15,IT,Rome,pm25,192,5.0,57.0,42.0,2888.64
113793,2020-04-13,IT,Rome,pm25,192,57.0,72.0,59.0,278.95
113794,2020-02-07,IT,Rome,pm25,168,55.0,76.0,63.0,505.87
113795,2020-04-15,IT,Rome,pm25,192,21.0,38.0,25.0,404.61
113796,2020-04-24,IT,Rome,pm25,192,46.0,55.0,50.0,134.29
113797,2020-01-19,IT,Rome,pm25,192,30.0,74.0,59.0,1681.1
