,Date,Country,City,Specie,count,min,max,median,variance
145,2020-03-18,CI,Abidjan,pm25,24,30.0,178.0,85.0,8604.76
146,2020-03-20,CI,Abidjan,pm25,24,63.0,93.0,74.0,477.39
147,2020-05-05,CI,Abidjan,pm25,24,25.0,91.0,70.0,1687.37
148,2020-03-27,CI,Abidjan,pm25,22,5.0,61.0,34.0,2749.29
149,2020-04-29,CI,Abidjan,pm25,24,13.0,78.0,50.0,3192.1
150,2020-04-30,CI,Abidjan,pm25,23,5.0,78.0,53.0,3158.58
151,2020-05-01,CI,Abidjan,pm25,22,13.0,85.0,53.0,3593.61
152,2020-04-24,CI,Abidjan,pm25,24,50.0,107.0,70.0,2468.53
153,2020-03-13,CI,Abidjan,pm25,24,59.0,134.0,76.0,2300.42
154,2020-03-15,CI,Abidjan,pm25,24,50.0,122.0,65.0,3406.88
155,2020-03-16,CI,Abidjan,pm25,24,25.0,102.0,65.0,2555.65
156,2020-03-28,CI,Abidjan,pm25,24,5.0,78.0,30.0,2829.4
157,2020-03-31,CI,Abidjan,pm25,21,5.0,38.0,21.0,699.57
158,2020-04-03,CI,Abidjan,pm25,24,63.0,99.0,76.0,849.49
159,2020-04-09,CI,Abidjan,pm25,24,9.0,107.0,70.0,4631.58
160,2020-03-29,CI,Abidjan,pm25,22,13.0,46.0,21.0,1085.13
161,2020-04-06,CI,Abidjan,pm25,15,25.0,99.0,70.0,3702.57
162,2020-04-10,CI,Abidjan,pm25,24,42.0,152.0,78.0,6887.54
163,2020-04-28,CI,Abidjan,pm25,24,13.0,104.0,61.0,3516.07
164,2020-05-06,CI,Abidjan,pm25,24,30.0,97.0,70.0,2528.53
165,2020-04-12,CI,Abidjan,pm25,24,17.0,124.0,76.0,3869.28
166,2020-05-07,CI,Abidjan,pm25,24,59.0,147.0,70.0,3991.72
167,2020-03-09,CI,Abidjan,pm25,24,5.0,93.0,59.0,3907.23
168,2020-03-12,CI,Abidjan,pm25,24,53.0,104.0,72.0,1640.87
169,2020-03-25,CI,Abidjan,pm25,24,5.0,59.0,34.0,2947.83
170,2020-03-30,CI,Abidjan,pm25,24,5.0,55.0,30.0,1419.55
171,2020-05-08,CI,Abidjan,pm25,7,9.0,114.0,70.0,10472.4
172,2020-04-04,CI,Abidjan,pm25,14,55.0,74.0,61.0,254.56
173,2020-04-13,CI,Abidjan,pm25,24,21.0,74.0,61.0,2038.84
174,2020-04-20,CI,Abidjan,pm25,24,21.0,127.0,59.0,3979.71
175,2020-04-07,CI,Abidjan,pm25,24,17.0,95.0,63.0,3368.7
176,2020-04-25,CI,Abidjan,pm25,24,30.0,151.0,59.0,9621.96
177,2020-03-22,CI,Abidjan,pm25,24,17.0,117.0,70.0,4997.37
178,2020-04-15,CI,Abidjan,pm25,24,61.0,151.0,80.0,4770.65
