item_id,date,p10,p50,p90
467,2020-05-03T00:00:00Z,-121.2832794189,-40.6253852844,45.9924583435
467,2020-05-04T00:00:00Z,-109.4797439575,-25.2622470856,56.3919677734
467,2020-05-05T00:00:00Z,3.1622238159,110.7281646729,228.6815948486
467,2020-05-06T00:00:00Z,-30.5371055603,123.9856109619,285.0966491699
467,2020-05-07T00:00:00Z,-40.5505142212,40.698928833,167.8174591064
467,2020-05-08T00:00:00Z,-83.675453186,24.8776321411,187.2523345947
467,2020-05-09T00:00:00Z,-80.224029541,17.079875946,177.6772613525
467,2020-05-10T00:00:00Z,-173.3567504883,-70.8808135986,90.7921447754
467,2020-05-11T00:00:00Z,-154.1036376953,-74.2506332397,63.8508033752
467,2020-05-12T00:00:00Z,25.393157959,182.554901123,413.9896850586
467,2020-05-13T00:00:00Z,371.8988037109,573.7662963867,896.891784668
467,2020-05-14T00:00:00Z,542.5531005859,718.2512207031,950.8571166992
467,2020-05-15T00:00:00Z,625.6190185547,790.4854736328,997.5587158203
467,2020-05-16T00:00:00Z,576.9649658203,816.3894042969,1042.3760986328
296,2020-05-03T00:00:00Z,1103.94921875,1160.6497802734,1215.6307373047
296,2020-05-04T00:00:00Z,1051.7600097656,1141.2435302734,1218.3157958984
296,2020-05-05T00:00:00Z,1055.7946777344,1153.197265625,1235.5637207031
296,2020-05-06T00:00:00Z,1070.9965820312,1133.5887451172,1227.0793457031
296,2020-05-07T00:00:00Z,1039.8986816406,1143.9948730469,1208.1466064453
296,2020-05-08T00:00:00Z,1038.5992431641,1139.6118164062,1240.5837402344
296,2020-05-09T00:00:00Z,1056.7561035156,1144.9117431641,1240.9738769531
296,2020-05-10T00:00:00Z,1074.0217285156,1149.2332763672,1245.2517089844
296,2020-05-11T00:00:00Z,995.6917724609,1094.6510009766,1259.1864013672
296,2020-05-12T00:00:00Z,980.6561279297,1103.2093505859,1220.3851318359
296,2020-05-13T00:00:00Z,1007.5338745117,1127.4860839844,1237.6352539062
296,2020-05-14T00:00:00Z,962.3545532227,1098.8388671875,1230.0327148438
296,2020-05-15T00:00:00Z,953.775390625,1120.6259765625,1232.4162597656
296,2020-05-16T00:00:00Z,975.4268798828,1100.1956787109,1214.5205078125
125,2020-05-03T00:00:00Z,1086.7268066406,1132.1235351562,1194.8111572266
125,2020-05-04T00:00:00Z,1051.6253662109,1111.5571289062,1189.1809082031
125,2020-05-05T00:00:00Z,1054.1685791016,1117.7681884766,1196.3626708984
125,2020-05-06T00:00:00Z,1029.9772949219,1109.4565429688,1172.5748291016
125,2020-05-07T00:00:00Z,1000.9965820312,1111.5657958984,1200.1618652344
125,2020-05-08T00:00:00Z,1017.0077514648,1121.4447021484,1196.8845214844
125,2020-05-09T00:00:00Z,1023.6350097656,1120.6939697266,1185.9935302734
125,2020-05-10T00:00:00Z,1014.626159668,1114.6379394531,1196.3096923828
125,2020-05-11T00:00:00Z,944.6168212891,1067.8336181641,1211.1019287109
125,2020-05-12T00:00:00Z,961.087097168,1084.8450927734,1199.9211425781
125,2020-05-13T00:00:00Z,928.0101928711,1083.2738037109,1179.9310302734
125,2020-05-14T00:00:00Z,913.4467773438,1057.9732666016,1239.2900390625
125,2020-05-15T00:00:00Z,928.0615844727,1084.1186523438,1204.4088134766
125,2020-05-16T00:00:00Z,936.5518798828,1073.7126464844,1181.9029541016
451,2020-05-03T00:00:00Z,1086.3638916016,1136.5378417969,1189.5690917969
451,2020-05-04T00:00:00Z,1061.0579833984,1115.9038085938,1165.9217529297
451,2020-05-05T00:00:00Z,1034.0926513672,1124.7900390625,1189.9595947266
451,2020-05-06T00:00:00Z,1015.4018554688,1129.6226806641,1190.4200439453
451,2020-05-07T00:00:00Z,1004.7655029297,1114.6555175781,1196.0629882812
451,2020-05-08T00:00:00Z,1039.3447265625,1123.2189941406,1197.7268066406
451,2020-05-09T00:00:00Z,1021.5975952148,1115.2353515625,1220.3897705078
451,2020-05-10T00:00:00Z,1045.9932861328,1122.7543945312,1195.2796630859
451,2020-05-11T00:00:00Z,934.7485351562,1060.0963134766,1175.2236328125
451,2020-05-12T00:00:00Z,944.8366088867,1053.5335693359,1178.1927490234
451,2020-05-13T00:00:00Z,908.9821166992,1057.9719238281,1179.5383300781
451,2020-05-14T00:00:00Z,873.5870361328,1048.3302001953,1184.6875
451,2020-05-15T00:00:00Z,934.6571044922,1053.7335205078,1204.021484375
451,2020-05-16T00:00:00Z,954.5729980469,1069.9548339844,1182.5799560547
447,2020-05-03T00:00:00Z,1111.4417724609,1147.5437011719,1199.4968261719
447,2020-05-04T00:00:00Z,1070.0246582031,1131.9915771484,1191.4711914062
447,2020-05-05T00:00:00Z,1070.8897705078,1131.77734375,1242.6208496094
447,2020-05-06T00:00:00Z,1063.390625,1127.0426025391,1214.826171875
447,2020-05-07T00:00:00Z,1069.6281738281,1132.7719726562,1208.4487304688
447,2020-05-08T00:00:00Z,1060.7578125,1139.6820068359,1223.1512451172
447,2020-05-09T00:00:00Z,1058.9757080078,1130.4643554688,1194.5942382812
447,2020-05-10T00:00:00Z,1056.5083007812,1136.5854492188,1214.0618896484
447,2020-05-11T00:00:00Z,970.0565185547,1073.6973876953,1188.5828857422
447,2020-05-12T00:00:00Z,994.4162597656,1086.8082275391,1170.8914794922
447,2020-05-13T00:00:00Z,925.8687744141,1084.9705810547,1196.0148925781
447,2020-05-14T00:00:00Z,969.7881469727,1088.9282226562,1208.4793701172
447,2020-05-15T00:00:00Z,943.2510986328,1089.3687744141,1180.8364257812
447,2020-05-16T00:00:00Z,987.6995849609,1101.1870117188,1209.6832275391
124,2020-05-03T00:00:00Z,1109.5756835938,1151.0045166016,1199.9637451172
124,2020-05-04T00:00:00Z,1079.5621337891,1139.8509521484,1207.9310302734
124,2020-05-05T00:00:00Z,1059.6662597656,1145.2889404297,1220.5932617188
124,2020-05-06T00:00:00Z,1068.7001953125,1137.8380126953,1204.3923339844
124,2020-05-07T00:00:00Z,1070.8481445312,1137.3627929688,1227.3033447266
124,2020-05-08T00:00:00Z,1061.4166259766,1143.5654296875,1223.5988769531
124,2020-05-09T00:00:00Z,1063.2677001953,1135.6125488281,1224.5815429688
124,2020-05-10T00:00:00Z,1065.5476074219,1140.1633300781,1207.5206298828
124,2020-05-11T00:00:00Z,964.8829956055,1091.6650390625,1211.2104492188
124,2020-05-12T00:00:00Z,991.4759521484,1112.6763916016,1226.3062744141
124,2020-05-13T00:00:00Z,1010.8560791016,1099.7758789062,1244.6199951172
124,2020-05-14T00:00:00Z,987.2817382812,1109.9788818359,1257.8129882812
124,2020-05-15T00:00:00Z,1031.9049072266,1125.1590576172,1242.9732666016
124,2020-05-16T00:00:00Z,1041.0916748047,1121.6130371094,1238.7452392578
591,2020-05-03T00:00:00Z,1241.9294433594,1296.3038330078,1355.7604980469
591,2020-05-04T00:00:00Z,1178.0433349609,1260.1076660156,1330.9128417969
591,2020-05-05T00:00:00Z,1175.7979736328,1269.5795898438,1352.5247802734
591,2020-05-06T00:00:00Z,1192.8018798828,1264.6147460938,1349.5682373047
591,2020-05-07T00:00:00Z,1170.7540283203,1265.4431152344,1340.3988037109
591,2020-05-08T00:00:00Z,1168.7235107422,1265.3084716797,1334.8422851562
591,2020-05-09T00:00:00Z,1174.083984375,1246.6350097656,1330.9197998047
