,Date,Country,City,Specie,count,min,max,median,variance
146120,2020-01-17,HK,Hong Kong,pm25,353,14.0,111.0,65.0,3385.64
146121,2020-03-04,HK,Hong Kong,pm25,337,2.0,110.0,51.0,2500.59
146122,2020-01-03,HK,Hong Kong,pm25,326,6.0,134.0,85.0,3626.9
146123,2020-04-04,HK,Hong Kong,pm25,308,1.0,91.0,49.0,3816.03
146124,2020-02-11,HK,Hong Kong,pm25,358,40.0,113.0,78.0,1078.71
146125,2020-03-09,HK,Hong Kong,pm25,348,14.0,119.0,59.0,2749.82
146126,2020-03-10,HK,Hong Kong,pm25,355,1.0,135.0,50.0,2789.43
146127,2020-04-13,HK,Hong Kong,pm25,358,8.0,84.0,58.0,783.78
146128,2020-04-17,HK,Hong Kong,pm25,338,33.0,106.0,60.0,831.83
146129,2020-04-30,HK,Hong Kong,pm25,360,34.0,98.0,66.0,914.29
146130,2020-01-20,HK,Hong Kong,pm25,332,11.0,128.0,70.0,2683.88
146131,2020-04-07,HK,Hong Kong,pm25,321,3.0,124.0,38.0,3966.92
146132,2020-01-14,HK,Hong Kong,pm25,330,23.0,122.0,74.0,2009.74
146133,2020-03-29,HK,Hong Kong,pm25,335,2.0,81.0,44.0,2629.49
146134,2020-02-25,HK,Hong Kong,pm25,359,13.0,98.0,63.0,1390.13
146135,2020-01-09,HK,Hong Kong,pm25,354,19.0,117.0,69.0,2009.84
146136,2020-02-23,HK,Hong Kong,pm25,359,13.0,159.0,66.0,2530.81
146137,2020-03-28,HK,Hong Kong,pm25,354,4.0,112.0,58.0,2976.86
146138,2020-01-05,HK,Hong Kong,pm25,321,25.0,108.0,63.0,1641.39
146139,2020-03-22,HK,Hong Kong,pm25,337,20.0,124.0,66.0,3597.35
146140,2020-04-02,HK,Hong Kong,pm25,356,20.0,73.0,51.0,861.61
146141,2020-02-29,HK,Hong Kong,pm25,355,18.0,98.0,54.0,1268.86
146142,2020-05-06,HK,Hong Kong,pm25,346,3.0,160.0,35.0,2646.29
146143,2020-01-19,HK,Hong Kong,pm25,355,13.0,140.0,73.0,6422.32
146144,2020-02-15,HK,Hong Kong,pm25,357,21.0,108.0,61.0,1690.1
146145,2019-12-31,HK,Hong Kong,pm25,318,3.0,150.0,66.0,12450.8
146146,2020-03-21,HK,Hong Kong,pm25,357,16.0,141.0,78.0,5274.1
146147,2020-05-08,HK,Hong Kong,pm25,226,2.0,89.0,24.0,1601.22
146148,2020-01-23,HK,Hong Kong,pm25,339,32.0,120.0,73.0,2524.36
146149,2020-03-20,HK,Hong Kong,pm25,356,15.0,156.0,67.0,6269.07
146150,2020-03-17,HK,Hong Kong,pm25,355,41.0,101.0,70.0,924.49
146151,2020-02-28,HK,Hong Kong,pm25,343,4.0,86.0,58.0,1642.85
146152,2020-02-12,HK,Hong Kong,pm25,352,43.0,164.0,86.0,4559.39
146153,2020-03-02,HK,Hong Kong,pm25,345,13.0,104.0,58.0,1058.37
146154,2020-04-15,HK,Hong Kong,pm25,342,55.0,145.0,78.0,1844.08
146155,2020-04-24,HK,Hong Kong,pm25,351,1.0,124.0,44.0,6725.04
146156,2020-01-16,HK,Hong Kong,pm25,349,52.0,143.0,93.0,2709.71
146157,2020-04-20,HK,Hong Kong,pm25,332,2.0,120.0,50.0,1495.54
146158,2020-05-07,HK,Hong Kong,pm25,346,3.0,107.0,32.0,1590.12
146159,2020-04-06,HK,Hong Kong,pm25,336,1.0,82.0,57.0,3004.12
146160,2020-02-24,HK,Hong Kong,pm25,355,17.0,109.0,70.0,984.94
146161,2020-03-16,HK,Hong Kong,pm25,350,20.0,104.0,73.0,1094.85
146162,2020-03-24,HK,Hong Kong,pm25,354,9.0,99.0,68.0,1684.05
146163,2020-04-08,HK,Hong Kong,pm25,354,20.0,93.0,56.0,1088.85
146164,2020-05-02,HK,Hong Kong,pm25,358,23.0,99.0,60.0,1828.51
146165,2020-02-04,HK,Hong Kong,pm25,339,14.0,97.0,61.0,1727.94
146166,2020-02-20,HK,Hong Kong,pm25,355,21.0,90.0,57.0,1230.45
146167,2020-03-27,HK,Hong Kong,pm25,355,10.0,100.0,60.0,1356.9
146168,2020-04-25,HK,Hong Kong,pm25,356,23.0,158.0,65.0,4291.35
146169,2020-04-28,HK,Hong Kong,pm25,353,32.0,96.0,63.0,1153.85
146170,2020-01-02,HK,Hong Kong,pm25,330,15.0,147.0,66.0,3196.29
146171,2020-02-07,HK,Hong Kong,pm25,358,20.0,110.0,72.0,2151.57
146172,2020-02-26,HK,Hong Kong,pm25,340,14.0,149.0,56.0,3546.89
146173,2020-03-19,HK,Hong Kong,pm25,350,2.0,106.0,61.0,3737.32
