country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
US,United States,Alabama,,2/15/20,5,2,39,7,2,-1
US,United States,Alabama,,2/16/20,0,-2,-7,3,-1,1
US,United States,Alabama,,2/17/20,3,0,17,7,-17,4
US,United States,Alabama,,2/18/20,-4,-3,-11,-1,1,2
US,United States,Alabama,,2/19/20,4,1,6,4,1,0
US,United States,Alabama,,2/20/20,-7,-6,-25,-1,0,3
US,United States,Alabama,,2/21/20,3,0,12,9,1,0
US,United States,Alabama,,2/22/20,5,4,46,13,6,-1
US,United States,Alabama,,2/23/20,3,2,24,16,2,0
US,United States,Alabama,,2/24/20,-2,-3,-13,2,-2,2
US,United States,Alabama,,2/25/20,7,3,27,7,-1,0
US,United States,Alabama,,2/26/20,16,5,7,11,0,-1
US,United States,Alabama,,2/27/20,12,6,14,9,2,-1
US,United States,Alabama,,2/28/20,12,6,20,10,1,-1
US,United States,Alabama,,2/29/20,15,10,55,20,5,-3
US,United States,Alabama,,3/1/20,16,10,53,21,4,-2
US,United States,Alabama,,3/2/20,8,4,-2,5,2,0
US,United States,Alabama,,3/3/20,20,15,33,5,2,-1
US,United States,Alabama,,3/4/20,7,0,-8,2,0,1
US,United States,Alabama,,3/5/20,7,6,0,4,2,1
US,United States,Alabama,,3/6/20,9,4,29,10,2,-1
US,United States,Alabama,,3/7/20,12,8,63,18,7,-2
US,United States,Alabama,,3/8/20,12,8,55,20,3,-1
US,United States,Alabama,,3/9/20,10,8,45,9,2,-1
US,United States,Alabama,,3/10/20,9,8,21,4,1,0
US,United States,Alabama,,3/11/20,10,8,27,7,1,-1
US,United States,Alabama,,3/12/20,10,22,43,8,1,-1
US,United States,Alabama,,3/13/20,7,32,26,7,-2,0
US,United States,Alabama,,3/14/20,1,28,55,12,4,0
US,United States,Alabama,,3/15/20,-7,16,16,6,-4,2
US,United States,Alabama,,3/16/20,-2,24,22,2,-10,4
US,United States,Alabama,,3/17/20,-11,17,25,-1,-17,7
US,United States,Alabama,,3/18/20,-13,13,39,-3,-22,8
US,United States,Alabama,,3/19/20,-20,15,27,-8,-25,10
US,United States,Alabama,,3/20/20,-27,10,7,-14,-29,14
US,United States,Alabama,,3/21/20,-35,5,10,-13,-16,8
US,United States,Alabama,,3/22/20,-40,-7,2,-22,-27,9
US,United States,Alabama,,3/23/20,-33,-6,-11,-22,-33,14
US,United States,Alabama,,3/24/20,-32,-5,4,-18,-34,15
US,United States,Alabama,,3/25/20,-28,-4,36,-15,-36,13
US,United States,Alabama,,3/26/20,-30,-3,32,-19,-36,14
US,United States,Alabama,,3/27/20,-30,-2,30,-24,-37,16
US,United States,Alabama,,3/28/20,-36,-2,22,-25,-22,9
US,United States,Alabama,,3/29/20,-41,-13,19,-30,-32,9
US,United States,Alabama,,3/30/20,-33,-10,10,-25,-38,14
US,United States,Alabama,,3/31/20,-36,-11,-23,-26,-40,17
US,United States,Alabama,,4/1/20,-25,5,19,-20,-39,14
US,United States,Alabama,,4/2/20,-32,3,12,-25,-39,16
US,United States,Alabama,,4/3/20,-29,12,17,-29,-40,16
US,United States,Alabama,,4/4/20,-41,8,4,-33,-26,11
US,United States,Alabama,,4/5/20,-50,-18,-1,-40,-36,12
US,United States,Alabama,,4/6/20,-37,-10,3,-29,-41,16
US,United States,Alabama,,4/7/20,-39,-11,-15,-31,-42,18
US,United States,Alabama,,4/8/20,-36,-9,-1,-30,-43,17
US,United States,Alabama,,4/9/20,-35,-4,5,-31,-43,18
US,United States,Alabama,,4/10/20,-34,-4,4,-37,-48,20
US,United States,Alabama,,4/11/20,-39,3,11,-35,-29,10
US,United States,Alaska,,2/15/20,5,3,14,2,1,0
US,United States,Alaska,,2/16/20,15,5,29,6,1,-1
US,United States,Alaska,,2/17/20,3,-2,9,-6,-33,8
US,United States,Alaska,,2/18/20,-2,-2,1,4,-2,2
US,United States,Alaska,,2/19/20,0,-2,1,4,-3,2
US,United States,Alaska,,2/20/20,3,3,5,1,2,0
US,United States,Alaska,,2/21/20,-1,-2,1,5,5,0
US,United States,Alaska,,2/22/20,5,3,13,3,4,-1
US,United States,Alaska,,2/23/20,12,4,16,1,2,-1
US,United States,Alaska,,2/24/20,4,1,7,4,3,0
US,United States,Alaska,,2/25/20,6,-1,1,-1,3,0
US,United States,Alaska,,2/26/20,12,6,7,2,3,0
US,United States,Alaska,,2/27/20,10,6,13,9,2,-1
US,United States,Alaska,,2/28/20,12,5,13,8,6,-2
US,United States,Alaska,,2/29/20,13,9,9,12,5,-2
US,United States,Alaska,,3/1/20,18,14,6,16,5,-1
US,United States,Alaska,,3/2/20,6,6,4,6,1,0
US,United States,Alaska,,3/3/20,11,9,-2,3,3,0
US,United States,Alaska,,3/4/20,11,8,3,8,3,0
US,United States,Alaska,,3/5/20,9,7,9,4,2,0
US,United States,Alaska,,3/6/20,9,4,10,9,0,1
US,United States,Alaska,,3/7/20,12,10,17,9,3,-1
US,United States,Alaska,,3/8/20,13,8,34,9,2,-1
US,United States,Alaska,,3/9/20,7,4,14,3,-10,2
US,United States,Alaska,,3/10/20,13,6,11,2,-7,2
US,United States,Alaska,,3/11/20,12,9,16,3,-8,2
US,United States,Alaska,,3/12/20,12,19,21,-1,-9,2
US,United States,Alaska,,3/13/20,7,19,16,0,-10,3
US,United States,Alaska,,3/14/20,0,19,37,1,-1,1
US,United States,Alaska,,3/15/20,5,14,58,7,-1,0
US,United States,Alaska,,3/16/20,1,20,29,-6,-12,4
US,United States,Alaska,,3/17/20,-14,8,12,-12,-15,7
US,United States,Alaska,,3/18/20,-19,8,6,-12,-21,9
US,United States,Alaska,,3/19/20,-26,4,15,-21,-25,10
US,United States,Alaska,,3/20/20,-28,3,23,-24,-25,12
US,United States,Alaska,,3/21/20,-37,-1,1,-25,-20,8
US,United States,Alaska,,3/22/20,-30,-4,65,-30,-21,6
US,United States,Alaska,,3/23/20,-36,-11,23,-37,-35,14
US,United States,Alaska,,3/24/20,-37,-12,17,-39,-39,16
US,United States,Alaska,,3/25/20,-40,-15,6,-42,-41,18
US,United States,Alaska,,3/26/20,-40,-13,31,-42,-42,17
US,United States,Alaska,,3/27/20,-42,-15,2,-50,-40,19
US,United States,Alaska,,3/28/20,-47,-15,11,-50,-30,11
US,United States,Alaska,,3/29/20,-48,-27,18,-55,-33,10
US,United States,Alaska,,3/30/20,-40,-17,15,-49,-46,18
US,United States,Alaska,,3/31/20,-37,-15,15,-45,-44,18
US,United States,Alaska,,4/1/20,-35,-8,3,-43,-44,18
US,United States,Alaska,,4/2/20,-42,-14,-3,-50,-45,19
US,United States,Alaska,,4/3/20,-42,-14,2,-47,-43,20
US,United States,Alaska,,4/4/20,-47,-14,21,-50,-32,12
US,United States,Alaska,,4/5/20,-41,-17,29,-52,-32,9
