State,PM2.5 After
Alabama,9.162343
Alaska,4.532278
Arizona,4.43277
Arkansas,7.589143
California,5.057632
Colorado,5.52809
Connecticut,5.863573
Delaware,7.199278
District Of Columbia,5.808633
Florida,9.381256
Georgia,9.673578
Hawaii,2.994798
Idaho,4.9027
Illinois,8.362534
Indiana,8.829933
Iowa,8.030926
Kansas,8.3
Kentucky,8.040492
Louisiana,7.899433
Maine,4.368269
Maryland,5.054636
Massachusetts,6.158101
Michigan,7.752295
Minnesota,5.701401
Mississippi,9.770246
Missouri,6.840393
Montana,4.613191
Nebraska,6.144025
Nevada,4.086458
New Hampshire,4.133333
New Jersey,6.540069
New Mexico,3.827656
New York,4.916404
North Carolina,6.201121
North Dakota,4.490476
Ohio,7.0366
Oklahoma,8.046713
Oregon,5.185046
Pennsylvania,7.135249
Rhode Island,3.588701
South Carolina,7.566412
South Dakota,4.651033
Tennessee,6.045739
Texas,9.378399
Utah,3.363897
Vermont,5.102315
Virginia,5.675676
Washington,4.695147
West Virginia,6.654545
Wisconsin,7.740155
Wyoming,2.037918
