Date,Daily Mean PM2.5 Concentration,STATE
3/1/20,5.8,New Jersey
3/2/20,8.3,New Jersey
3/3/20,10.5,New Jersey
3/4/20,3.9,New Jersey
3/5/20,4.8,New Jersey
3/6/20,4.2,New Jersey
3/7/20,4.3,New Jersey
3/8/20,5.4,New Jersey
3/9/20,9.2,New Jersey
3/10/20,8.1,New Jersey
3/11/20,6.4,New Jersey
3/12/20,5.5,New Jersey
3/13/20,6,New Jersey
3/14/20,4.8,New Jersey
3/15/20,5.3,New Jersey
3/16/20,6.1,New Jersey
3/17/20,3,New Jersey
3/18/20,6.2,New Jersey
3/19/20,5.7,New Jersey
3/20/20,9.8,New Jersey
3/21/20,6.5,New Jersey
3/22/20,7.6,New Jersey
3/23/20,4.6,New Jersey
3/24/20,3.3,New Jersey
3/25/20,5.1,New Jersey
3/26/20,5,New Jersey
3/27/20,7.2,New Jersey
3/28/20,4.1,New Jersey
3/29/20,3.1,New Jersey
3/30/20,5.4,New Jersey
3/31/20,3.2,New Jersey
4/1/20,4.8,New Jersey
4/2/20,2.5,New Jersey
4/3/20,2.7,New Jersey
4/4/20,4.6,New Jersey
4/5/20,4.3,New Jersey
4/6/20,5.8,New Jersey
4/7/20,7.5,New Jersey
4/8/20,9.8,New Jersey
4/9/20,6.5,New Jersey
4/10/20,4.3,New Jersey
4/11/20,7.7,New Jersey
4/12/20,5.9,New Jersey
4/13/20,4.5,New Jersey
4/14/20,4.5,New Jersey
4/15/20,5.4,New Jersey
4/16/20,7,New Jersey
4/17/20,7.4,New Jersey
4/18/20,8,New Jersey
4/19/20,5.8,New Jersey
4/21/20,5.5,New Jersey
4/22/20,4.2,New Jersey
4/23/20,5.3,New Jersey
4/24/20,2.8,New Jersey
4/25/20,6.1,New Jersey
3/1/20,6.6,New Jersey
3/2/20,14.7,New Jersey
3/3/20,14.3,New Jersey
3/4/20,5.2,New Jersey
3/5/20,5.6,New Jersey
3/6/20,8.3,New Jersey
3/7/20,2.8,New Jersey
3/8/20,5,New Jersey
3/9/20,11.7,New Jersey
3/10/20,11.2,New Jersey
3/11/20,5,New Jersey
3/12/20,11.3,New Jersey
3/13/20,11,New Jersey
3/14/20,3.8,New Jersey
3/15/20,4.7,New Jersey
3/16/20,5.8,New Jersey
3/17/20,9.4,New Jersey
3/18/20,7.8,New Jersey
3/19/20,7.9,New Jersey
3/20/20,16.8,New Jersey
3/21/20,2.7,New Jersey
3/22/20,5.8,New Jersey
3/23/20,4.6,New Jersey
3/24/20,6,New Jersey
3/25/20,5.9,New Jersey
3/2/20,11.1,New Jersey
3/3/20,11.5,New Jersey
3/4/20,12.5,New Jersey
3/5/20,8.3,New Jersey
3/6/20,9.5,New Jersey
3/7/20,5,New Jersey
3/8/20,8.5,New Jersey
3/9/20,9.7,New Jersey
3/10/20,8,New Jersey
3/11/20,7.6,New Jersey
3/12/20,10.6,New Jersey
3/13/20,8.7,New Jersey
3/14/20,5,New Jersey
3/15/20,4.7,New Jersey
3/16/20,4.7,New Jersey
3/17/20,7.6,New Jersey
3/18/20,7.3,New Jersey
3/19/20,4.2,New Jersey
3/20/20,8.9,New Jersey
3/21/20,8.9,New Jersey
3/22/20,7,New Jersey
3/24/20,5.4,New Jersey
3/25/20,5.2,New Jersey
3/26/20,7.6,New Jersey
3/27/20,6.6,New Jersey
3/28/20,6.9,New Jersey
3/29/20,3.7,New Jersey
3/30/20,6.2,New Jersey
3/31/20,6.4,New Jersey
4/1/20,4,New Jersey
4/2/20,3.5,New Jersey
4/3/20,3.7,New Jersey
4/4/20,2.8,New Jersey
4/5/20,7.5,New Jersey
4/6/20,5.2,New Jersey
4/7/20,8.3,New Jersey
4/8/20,5.7,New Jersey
4/10/20,9.4,New Jersey
