date,STATE,COUNTY,DAILY_AQI_VALUE,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,AQI_Percent_Change,AQI_Increase,AQI_Decrease,Rec_Retail_Increase,Rec_Retail_Decrease,Grocery_Pharmacy_Increase,Grocery_Pharmacy_Decrease,Parks_Increase,Parks_Decrease,Transit_Stations_Increase,Transit_Stations_Decrease,Work_Increase,Work_Decrease,Home_Increase,Home_Decrease
2/15/20,Alabama,Jefferson,31.2,4,1,109,3,2,0,, , , , , , , , , , , , , , 
2/16/20,Alabama,Jefferson,50.2,2,-3,12,-2,-1,0,0.61,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
2/17/20,Alabama,Jefferson,33.4,3,1,23,-3,-14,4,-0.33,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
2/18/20,Alabama,Jefferson,21.2,-9,-8,-27,0,-1,2,-0.37,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
2/19/20,Alabama,Jefferson,26,1,1,-12,-1,1,0,0.23,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
2/20/20,Alabama,Jefferson,20.8,-7,-5,-42,-4,-1,3,-0.2,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
2/21/20,Alabama,Jefferson,27.6,0,-1,11,2,1,1,0.33,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
2/22/20,Alabama,Jefferson,35.4,3,2,72,4,6,-1,0.28,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
2/23/20,Alabama,Jefferson,54.8,-2,-2,-1,5,-1,0,0.55,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
2/24/20,Alabama,Jefferson,43.4,-6,-4,-33,-7,-1,2,-0.21,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
2/25/20,Alabama,Jefferson,27.5,5,3,20,6,3,-1,-0.37,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
2/26/20,Alabama,Jefferson,24.8,11,4,-11,3,1,-1,-0.1,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
2/27/20,Alabama,Jefferson,22.4,11,7,5,4,2,-1,-0.1,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
2/28/20,Alabama,Jefferson,27.8,10,5,20,6,1,-1,0.24,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
2/29/20,Alabama,Jefferson,29.6,14,9,92,7,7,-3,0.06,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/1/20,Alabama,Jefferson,57.6,12,8,37,7,2,-2,0.95,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/2/20,Alabama,Jefferson,31.6,4,5,-28,-4,0,1,-0.45,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
3/3/20,Alabama,Jefferson,47.4,19,17,65,1,2,-2,0.5,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/4/20,Alabama,Jefferson,34.4,3,-2,-36,-5,0,1,-0.27,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
3/5/20,Alabama,Jefferson,17,4,7,-27,-3,1,1,-0.51,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
3/6/20,Alabama,Jefferson,23.6,9,5,30,2,2,-1,0.39,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/7/20,Alabama,Jefferson,27.8,13,8,115,9,6,-3,0.18,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/8/20,Alabama,Jefferson,37.4,9,5,59,12,1,-1,0.35,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/9/20,Alabama,Jefferson,45.6,9,11,57,-2,1,-1,0.22,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/10/20,Alabama,Jefferson,28.2,6,9,12,-1,0,0,-0.38,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
3/11/20,Alabama,Jefferson,29.2,6,4,3,-3,0,0,0.04,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/12/20,Alabama,Jefferson,35.6,8,26,44,-3,1,-1,0.22,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/13/20,Alabama,Jefferson,36.6,0,36,-1,-6,-2,2,0.03,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/14/20,Alabama,Jefferson,43.6,-3,28,98,4,3,0,0.19,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/15/20,Alabama,Jefferson,19,-16,14,-22,-11,-7,4,-0.56,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
3/16/20,Alabama,Jefferson,38.8,-8,29,24,-13,-16,6,1.04,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/17/20,Alabama,Jefferson,68.4,-22,20,31,-14,-25,10,0.76,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/18/20,Alabama,Jefferson,54.6,-25,11,39,-17,-31,11,-0.2,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
3/19/20,Alabama,Jefferson,38,-28,17,17,-24,-33,13,-0.3,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
3/20/20,Alabama,Jefferson,33.4,-35,10,9,-29,-36,17,-0.12,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
3/21/20,Alabama,Jefferson,21.4,-44,2,22,-28,-23,11,-0.36,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
3/22/20,Alabama,Jefferson,28.8,-49,-11,-14,-37,-34,11,0.35,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/23/20,Alabama,Jefferson,32,-43,-10,-44,-41,-42,19,0.11,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/24/20,Alabama,Jefferson,38,-39,-1,10,-32,-43,17,0.19,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/25/20,Alabama,Jefferson,26.4,-39,-7,30,-32,-44,17,-0.31,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
3/26/20,Alabama,Jefferson,43.8,-40,-6,21,-33,-44,18,0.66,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/27/20,Alabama,Jefferson,61,-42,-7,32,-36,-45,20,0.39,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease
3/28/20,Alabama,Jefferson,55.6,-46,-7,35,-32,-29,11,-0.09,Decrease,Increase,Decrease,,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase
