Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/20,AirNow,10730023,3,5.4,ug/m3 LC,23,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
1/2/20,AirNow,10730023,3,5.9,ug/m3 LC,25,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
1/3/20,AirNow,10730023,3,5.5,ug/m3 LC,23,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
1/4/20,AirNow,10730023,3,5.3,ug/m3 LC,22,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
1/5/20,AirNow,10730023,3,5.4,ug/m3 LC,23,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
1/6/20,AirNow,10730023,3,7.2,ug/m3 LC,30,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
1/7/20,AirNow,10730023,3,4.3,ug/m3 LC,18,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
1/8/20,AirNow,10730023,3,13.5,ug/m3 LC,54,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
1/9/20,AirNow,10730023,3,14.6,ug/m3 LC,56,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
1/10/20,AirNow,10730023,3,10.5,ug/m3 LC,44,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
1/11/20,AirNow,10730023,3,5.2,ug/m3 LC,22,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
