Date,Daily Mean PM2.5 Concentration,STATE
1/1/20,5.4,Alabama
1/2/20,5.9,Alabama
1/3/20,5.5,Alabama
1/4/20,5.3,Alabama
1/5/20,5.4,Alabama
1/6/20,7.2,Alabama
1/7/20,4.3,Alabama
1/8/20,13.5,Alabama
1/9/20,14.6,Alabama
1/10/20,10.5,Alabama
1/11/20,5.2,Alabama
1/12/20,6.6,Alabama
1/13/20,8.7,Alabama
1/14/20,4.9,Alabama
1/15/20,6,Alabama
1/16/20,6.3,Alabama
1/17/20,4.6,Alabama
1/18/20,7.3,Alabama
1/19/20,3,Alabama
1/20/20,9.3,Alabama
1/24/20,5.5,Alabama
1/25/20,5.5,Alabama
1/26/20,13.4,Alabama
1/27/20,7.5,Alabama
1/28/20,17.6,Alabama
1/29/20,7.7,Alabama
1/30/20,13.4,Alabama
1/31/20,11.6,Alabama
2/1/20,11.1,Alabama
2/2/20,6.6,Alabama
2/3/20,7,Alabama
2/4/20,4.9,Alabama
2/5/20,8.1,Alabama
2/6/20,2.7,Alabama
2/7/20,4.4,Alabama
2/8/20,6.7,Alabama
2/9/20,9.2,Alabama
2/10/20,5.6,Alabama
2/11/20,4.1,Alabama
2/12/20,8,Alabama
2/13/20,3.1,Alabama
2/14/20,7,Alabama
2/15/20,8.1,Alabama
2/16/20,14.7,Alabama
2/17/20,9,Alabama
2/18/20,4.7,Alabama
2/19/20,8.4,Alabama
2/20/20,6.1,Alabama
2/21/20,9.9,Alabama
2/22/20,10.7,Alabama
2/23/20,17.7,Alabama
2/24/20,12.2,Alabama
2/25/20,5.3,Alabama
2/26/20,5.5,Alabama
2/27/20,4.8,Alabama
2/28/20,6.7,Alabama
2/29/20,6.7,Alabama
1/1/20,5.7,Alabama
1/2/20,6.7,Alabama
1/3/20,3.1,Alabama
1/4/20,5.3,Alabama
1/5/20,4.7,Alabama
1/6/20,7,Alabama
1/7/20,5.7,Alabama
1/10/20,9.2,Alabama
1/11/20,6,Alabama
1/12/20,5.6,Alabama
1/13/20,7.5,Alabama
1/14/20,3.7,Alabama
1/15/20,5.1,Alabama
1/16/20,5.4,Alabama
1/17/20,4.5,Alabama
1/18/20,6.7,Alabama
