Entity,Code,Date,Total confirmed deaths due to COVID-19 (deaths),Total confirmed cases of COVID-19 (cases)
Afghanistan,AFG,"Feb 25, 2020",,1
Afghanistan,AFG,"Feb 26, 2020",,1
Afghanistan,AFG,"Feb 27, 2020",,1
Afghanistan,AFG,"Feb 28, 2020",,1
Afghanistan,AFG,"Feb 29, 2020",,1
Afghanistan,AFG,"Mar 1, 2020",,1
Afghanistan,AFG,"Mar 2, 2020",,1
Afghanistan,AFG,"Mar 8, 2020",,4
Afghanistan,AFG,"Mar 11, 2020",,7
Afghanistan,AFG,"Mar 15, 2020",,10
Afghanistan,AFG,"Mar 16, 2020",,16
Afghanistan,AFG,"Mar 17, 2020",,21
Afghanistan,AFG,"Mar 18, 2020",,22
Afghanistan,AFG,"Mar 19, 2020",,22
Afghanistan,AFG,"Mar 20, 2020",,22
Afghanistan,AFG,"Mar 21, 2020",,24
Afghanistan,AFG,"Mar 22, 2020",,24
Afghanistan,AFG,"Mar 23, 2020",,34
Afghanistan,AFG,"Mar 24, 2020",1,40
Afghanistan,AFG,"Mar 25, 2020",1,42
Afghanistan,AFG,"Mar 26, 2020",1,75
Afghanistan,AFG,"Mar 27, 2020",1,75
Afghanistan,AFG,"Mar 28, 2020",2,91
Afghanistan,AFG,"Mar 29, 2020",3,106
Afghanistan,AFG,"Mar 30, 2020",4,114
Afghanistan,AFG,"Mar 31, 2020",4,141
Afghanistan,AFG,"Apr 1, 2020",4,166
Afghanistan,AFG,"Apr 2, 2020",4,192
Afghanistan,AFG,"Apr 3, 2020",4,235
Afghanistan,AFG,"Apr 4, 2020",4,235
Afghanistan,AFG,"Apr 5, 2020",5,270
Afghanistan,AFG,"Apr 6, 2020",7,299
Afghanistan,AFG,"Apr 7, 2020",7,337
Afghanistan,AFG,"Apr 8, 2020",11,367
Afghanistan,AFG,"Apr 9, 2020",14,423
Afghanistan,AFG,"Apr 10, 2020",15,484
Afghanistan,AFG,"Apr 11, 2020",15,521
Afghanistan,AFG,"Apr 12, 2020",18,555
Afghanistan,AFG,"Apr 13, 2020",18,607
Afghanistan,AFG,"Apr 14, 2020",21,665
Afghanistan,AFG,"Apr 15, 2020",23,714
Afghanistan,AFG,"Apr 16, 2020",25,784
Afghanistan,AFG,"Apr 17, 2020",29,794
Afghanistan,AFG,"Apr 18, 2020",30,845
Afghanistan,AFG,"Apr 19, 2020",30,908
Afghanistan,AFG,"Apr 20, 2020",33,996
Afghanistan,AFG,"Apr 21, 2020",35,1031
Afghanistan,AFG,"Apr 22, 2020",36,1092
Afghanistan,AFG,"Apr 23, 2020",40,1176
Afghanistan,AFG,"Apr 24, 2020",42,1281
Afghanistan,AFG,"Apr 25, 2020",43,1351
Afghanistan,AFG,"Apr 26, 2020",47,1463
Afghanistan,AFG,"Apr 27, 2020",57,1531
Afghanistan,AFG,"Apr 28, 2020",57,1703
Afghanistan,AFG,"Apr 29, 2020",60,1827
Afghanistan,AFG,"Apr 30, 2020",60,1949
Afghanistan,AFG,"May 1, 2020",64,2171
Afghanistan,AFG,"May 2, 2020",68,2335
Africa,,"Feb 15, 2020",,1
Africa,,"Feb 16, 2020",,1
Africa,,"Feb 17, 2020",,1
Africa,,"Feb 18, 2020",,1
Africa,,"Feb 19, 2020",,1
Africa,,"Feb 20, 2020",,1
Africa,,"Feb 21, 2020",,1
Africa,,"Feb 22, 2020",,1
Africa,,"Feb 23, 2020",,1
Africa,,"Feb 24, 2020",,1
Africa,,"Feb 25, 2020",,1
Africa,,"Feb 26, 2020",,2
Africa,,"Feb 27, 2020",,2
Africa,,"Feb 28, 2020",,3
Africa,,"Feb 29, 2020",,3
Africa,,"Mar 1, 2020",,5
Africa,,"Mar 2, 2020",,6
Africa,,"Mar 3, 2020",,9
Africa,,"Mar 4, 2020",,11
Africa,,"Mar 5, 2020",,20
Africa,,"Mar 6, 2020",,29
Africa,,"Mar 7, 2020",,43
Africa,,"Mar 8, 2020",,44
Africa,,"Mar 9, 2020",1,83
Africa,,"Mar 10, 2020",1,95
Africa,,"Mar 11, 2020",1,105
Africa,,"Mar 12, 2020",2,118
Africa,,"Mar 13, 2020",4,159
Africa,,"Mar 14, 2020",5,202
Africa,,"Mar 15, 2020",6,239
Africa,,"Mar 16, 2020",8,324
Africa,,"Mar 17, 2020",8,402
Africa,,"Mar 18, 2020",12,494
Africa,,"Mar 19, 2020",16,633
Africa,,"Mar 20, 2020",17,744
Africa,,"Mar 21, 2020",24,975
Africa,,"Mar 22, 2020",35,1176
Africa,,"Mar 23, 2020",44,1389
Africa,,"Mar 24, 2020",52,1738
Africa,,"Mar 25, 2020",64,2203
Africa,,"Mar 26, 2020",72,2690
Africa,,"Mar 27, 2020",84,3278
Africa,,"Mar 28, 2020",103,3804
Africa,,"Mar 29, 2020",124,4124
Africa,,"Mar 30, 2020",143,4629
Africa,,"Mar 31, 2020",166,5137
Africa,,"Apr 1, 2020",189,5626
Africa,,"Apr 2, 2020",224,6248
Africa,,"Apr 3, 2020",256,6883
Africa,,"Apr 4, 2020",305,7508
Africa,,"Apr 5, 2020",379,8440
Africa,,"Apr 6, 2020",434,9175
Africa,,"Apr 7, 2020",477,9802
Africa,,"Apr 8, 2020",522,10524
Africa,,"Apr 9, 2020",573,11446
Africa,,"Apr 10, 2020",630,12280
Africa,,"Apr 11, 2020",691,12952
Africa,,"Apr 12, 2020",743,13666
Africa,,"Apr 13, 2020",789,14522
Africa,,"Apr 14, 2020",835,15291
Africa,,"Apr 15, 2020",876,16281
Africa,,"Apr 16, 2020",911,17243
Africa,,"Apr 17, 2020",965,18329
Africa,,"Apr 18, 2020",1016,19897
Africa,,"Apr 19, 2020",1057,21057
Africa,,"Apr 20, 2020",1120,22303
Africa,,"Apr 21, 2020",1155,23267
Africa,,"Apr 22, 2020",1189,24617
Africa,,"Apr 23, 2020",1232,25686
Africa,,"Apr 24, 2020",1286,27221
Africa,,"Apr 25, 2020",1334,29075
Africa,,"Apr 26, 2020",1378,30316
Africa,,"Apr 27, 2020",1415,31748
Africa,,"Apr 28, 2020",1470,33164
Africa,,"Apr 29, 2020",1524,34934
Africa,,"Apr 30, 2020",1591,36737
Africa,,"May 1, 2020",1635,38852
Africa,,"May 2, 2020",1690,40759
Albania,ALB,"Mar 9, 2020",,2
Albania,ALB,"Mar 10, 2020",,6
Albania,ALB,"Mar 11, 2020",,10
Albania,ALB,"Mar 12, 2020",1,11
Albania,ALB,"Mar 13, 2020",1,23
Albania,ALB,"Mar 14, 2020",1,33
Albania,ALB,"Mar 15, 2020",1,38
Albania,ALB,"Mar 16, 2020",1,42
Albania,ALB,"Mar 17, 2020",1,51
Albania,ALB,"Mar 18, 2020",1,55
Albania,ALB,"Mar 19, 2020",2,59
Albania,ALB,"Mar 20, 2020",2,70
Albania,ALB,"Mar 21, 2020",2,70
Albania,ALB,"Mar 22, 2020",2,76
Albania,ALB,"Mar 23, 2020",2,89
Albania,ALB,"Mar 24, 2020",4,100
Albania,ALB,"Mar 25, 2020",5,123
Albania,ALB,"Mar 26, 2020",5,146
Albania,ALB,"Mar 27, 2020",6,174
Albania,ALB,"Mar 28, 2020",9,186
Albania,ALB,"Mar 29, 2020",10,197
Albania,ALB,"Mar 30, 2020",10,212
Albania,ALB,"Mar 31, 2020",12,223
Albania,ALB,"Apr 1, 2020",15,243
Albania,ALB,"Apr 2, 2020",15,259
Albania,ALB,"Apr 3, 2020",16,277
Albania,ALB,"Apr 4, 2020",17,304
Albania,ALB,"Apr 5, 2020",19,333
Albania,ALB,"Apr 6, 2020",21,361
Albania,ALB,"Apr 7, 2020",22,377
Albania,ALB,"Apr 8, 2020",22,383
Albania,ALB,"Apr 9, 2020",22,400
Albania,ALB,"Apr 10, 2020",23,409
Albania,ALB,"Apr 11, 2020",23,416
Albania,ALB,"Apr 12, 2020",23,433
Albania,ALB,"Apr 13, 2020",23,446
Albania,ALB,"Apr 14, 2020",23,467
Albania,ALB,"Apr 15, 2020",24,475
Albania,ALB,"Apr 16, 2020",25,494
Albania,ALB,"Apr 17, 2020",26,518
Albania,ALB,"Apr 18, 2020",26,539
Albania,ALB,"Apr 19, 2020",26,548
Albania,ALB,"Apr 20, 2020",26,562
Albania,ALB,"Apr 21, 2020",26,584
Albania,ALB,"Apr 22, 2020",26,609
