date,STATE,COUNTY,DAILY_AQI_VALUE,AQI_Base,AQI_change
2/15/20,Alabama,Jefferson,31.2,31.2,
2/16/20,Alabama,Jefferson,50.2,31.2,19
2/17/20,Alabama,Jefferson,33.4,31.2,2.2
2/18/20,Alabama,Jefferson,21.2,31.2,-10
2/19/20,Alabama,Jefferson,26.0,31.2,-5.2
2/20/20,Alabama,Jefferson,20.8,31.2,-10.4
2/21/20,Alabama,Jefferson,27.6,31.2,-3.6
2/22/20,Alabama,Jefferson,35.4,31.2,4.2
2/23/20,Alabama,Jefferson,54.8,31.2,23.6
2/24/20,Alabama,Jefferson,43.4,31.2,12.2
2/25/20,Alabama,Jefferson,27.5,31.2,-3.7
2/26/20,Alabama,Jefferson,24.8,31.2,-6.4
2/27/20,Alabama,Jefferson,22.4,31.2,-8.8
2/28/20,Alabama,Jefferson,27.8,31.2,-3.4
2/29/20,Alabama,Jefferson,29.6,31.2,-1.6
3/1/20,Alabama,Jefferson,57.6,31.2,26.4
3/2/20,Alabama,Jefferson,31.6,31.2,0.4
3/3/20,Alabama,Jefferson,47.4,31.2,16.2
3/4/20,Alabama,Jefferson,34.4,31.2,3.2
3/5/20,Alabama,Jefferson,17.0,31.2,-14.2
3/6/20,Alabama,Jefferson,23.6,31.2,-7.6
3/7/20,Alabama,Jefferson,27.8,31.2,-3.4
3/8/20,Alabama,Jefferson,37.4,31.2,6.2
3/9/20,Alabama,Jefferson,45.6,31.2,14.4
3/10/20,Alabama,Jefferson,28.2,31.2,-3
3/11/20,Alabama,Jefferson,29.2,31.2,-2
3/12/20,Alabama,Jefferson,35.6,31.2,4.4
3/13/20,Alabama,Jefferson,36.6,31.2,5.4
3/14/20,Alabama,Jefferson,43.6,31.2,12.4
3/15/20,Alabama,Jefferson,19.0,31.2,-12.2
3/16/20,Alabama,Jefferson,38.8,31.2,7.6
3/17/20,Alabama,Jefferson,68.4,31.2,37.2
3/18/20,Alabama,Jefferson,54.6,31.2,23.4
3/19/20,Alabama,Jefferson,38.0,31.2,6.8
3/20/20,Alabama,Jefferson,33.4,31.2,2.2
3/21/20,Alabama,Jefferson,21.4,31.2,-9.8
3/22/20,Alabama,Jefferson,28.8,31.2,-2.4
3/23/20,Alabama,Jefferson,32.0,31.2,0.8
3/24/20,Alabama,Jefferson,38.0,31.2,6.8
3/25/20,Alabama,Jefferson,26.4,31.2,-4.8
3/26/20,Alabama,Jefferson,43.8,31.2,12.6
3/27/20,Alabama,Jefferson,61.0,31.2,29.8
3/28/20,Alabama,Jefferson,55.6,31.2,24.4
3/29/20,Alabama,Jefferson,36.0,31.2,4.8
3/30/20,Alabama,Jefferson,36.6,31.2,5.4
3/31/20,Alabama,Jefferson,29.2,31.2,-2
4/1/20,Alabama,Jefferson,25.4,31.2,-5.8
4/2/20,Alabama,Jefferson,28.8,31.2,-2.4
4/3/20,Alabama,Jefferson,47.8,31.2,16.6
4/4/20,Alabama,Jefferson,49.6,31.2,18.4
4/5/20,Alabama,Jefferson,54.0,31.2,22.8
4/6/20,Alabama,Jefferson,62.8,31.2,31.6
4/7/20,Alabama,Jefferson,54.8,31.2,23.6
4/8/20,Alabama,Jefferson,50.0,31.2,18.8
4/9/20,Alabama,Jefferson,25.6,31.2,-5.6
4/10/20,Alabama,Jefferson,26.2,31.2,-5
4/11/20,Alabama,Jefferson,41.2,31.2,10
2/15/20,Alabama,Madison,26.0,26.0,0
2/16/20,Alabama,Madison,43.0,26.0,17
2/17/20,Alabama,Madison,38.0,26.0,12
2/19/20,Alabama,Madison,30.0,26.0,4
2/20/20,Alabama,Madison,25.0,26.0,-1
2/21/20,Alabama,Madison,24.0,26.0,-2
2/22/20,Alabama,Madison,33.0,26.0,7
2/23/20,Alabama,Madison,45.0,26.0,19
2/24/20,Alabama,Madison,32.0,26.0,6
2/25/20,Alabama,Madison,22.0,26.0,-4
2/26/20,Alabama,Madison,22.0,26.0,-4
2/27/20,Alabama,Madison,25.0,26.0,-1
2/28/20,Alabama,Madison,23.0,26.0,-3
2/29/20,Alabama,Madison,25.0,26.0,-1
3/1/20,Alabama,Madison,51.0,26.0,25
3/2/20,Alabama,Madison,32.0,26.0,6
3/3/20,Alabama,Madison,38.0,26.0,12
3/4/20,Alabama,Madison,36.0,26.0,10
3/5/20,Alabama,Madison,29.0,26.0,3
3/6/20,Alabama,Madison,22.0,26.0,-4
3/7/20,Alabama,Madison,29.0,26.0,3
3/8/20,Alabama,Madison,32.0,26.0,6
3/9/20,Alabama,Madison,45.0,26.0,19
3/10/20,Alabama,Madison,28.0,26.0,2
3/11/20,Alabama,Madison,28.0,26.0,2
3/12/20,Alabama,Madison,38.0,26.0,12
3/13/20,Alabama,Madison,29.0,26.0,3
3/14/20,Alabama,Madison,28.0,26.0,2
3/15/20,Alabama,Madison,13.0,26.0,-13
