,date,STATE,COUNTY,DAILY_AQI_VALUE,AQI_Base,AQI_change,RETAIL_REC,GROCERY_PHARM,PARKS,TRANSIT_STATIONS,WORK,HOME
0,2/15/20,Alabama,Jefferson,31.2,31.2,,4.0,1.0,109.0,3.0,2.0,0.0
1,2/16/20,Alabama,Jefferson,50.2,31.2,19.0,2.0,-3.0,12.0,-2.0,-1.0,0.0
2,2/17/20,Alabama,Jefferson,33.4,31.2,2.2,3.0,1.0,23.0,-3.0,-14.0,4.0
3,2/18/20,Alabama,Jefferson,21.2,31.2,-10.0,-9.0,-8.0,-27.0,0.0,-1.0,2.0
4,2/19/20,Alabama,Jefferson,26.0,31.2,-5.2,1.0,1.0,-12.0,-1.0,1.0,0.0
5,2/20/20,Alabama,Jefferson,20.8,31.2,-10.4,-7.0,-5.0,-42.0,-4.0,-1.0,3.0
6,2/21/20,Alabama,Jefferson,27.6,31.2,-3.6,0.0,-1.0,11.0,2.0,1.0,1.0
7,2/22/20,Alabama,Jefferson,35.4,31.2,4.2,3.0,2.0,72.0,4.0,6.0,-1.0
8,2/23/20,Alabama,Jefferson,54.8,31.2,23.6,-2.0,-2.0,-1.0,5.0,-1.0,0.0
9,2/24/20,Alabama,Jefferson,43.4,31.2,12.2,-6.0,-4.0,-33.0,-7.0,-1.0,2.0
10,2/25/20,Alabama,Jefferson,27.5,31.2,-3.7,5.0,3.0,20.0,6.0,3.0,-1.0
11,2/26/20,Alabama,Jefferson,24.8,31.2,-6.4,11.0,4.0,-11.0,3.0,1.0,-1.0
12,2/27/20,Alabama,Jefferson,22.4,31.2,-8.8,11.0,7.0,5.0,4.0,2.0,-1.0
13,2/28/20,Alabama,Jefferson,27.8,31.2,-3.4,10.0,5.0,20.0,6.0,1.0,-1.0
14,2/29/20,Alabama,Jefferson,29.6,31.2,-1.6,14.0,9.0,92.0,7.0,7.0,-3.0
15,3/1/20,Alabama,Jefferson,57.6,31.2,26.4,12.0,8.0,37.0,7.0,2.0,-2.0
16,3/2/20,Alabama,Jefferson,31.6,31.2,0.4,4.0,5.0,-28.0,-4.0,0.0,1.0
17,3/3/20,Alabama,Jefferson,47.4,31.2,16.2,19.0,17.0,65.0,1.0,2.0,-2.0
18,3/4/20,Alabama,Jefferson,34.4,31.2,3.2,3.0,-2.0,-36.0,-5.0,0.0,1.0
19,3/5/20,Alabama,Jefferson,17.0,31.2,-14.2,4.0,7.0,-27.0,-3.0,1.0,1.0
20,3/6/20,Alabama,Jefferson,23.6,31.2,-7.6,9.0,5.0,30.0,2.0,2.0,-1.0
21,3/7/20,Alabama,Jefferson,27.8,31.2,-3.4,13.0,8.0,115.0,9.0,6.0,-3.0
22,3/8/20,Alabama,Jefferson,37.4,31.2,6.2,9.0,5.0,59.0,12.0,1.0,-1.0
23,3/9/20,Alabama,Jefferson,45.6,31.2,14.4,9.0,11.0,57.0,-2.0,1.0,-1.0
24,3/10/20,Alabama,Jefferson,28.2,31.2,-3.0,6.0,9.0,12.0,-1.0,0.0,0.0
25,3/11/20,Alabama,Jefferson,29.2,31.2,-2.0,6.0,4.0,3.0,-3.0,0.0,0.0
26,3/12/20,Alabama,Jefferson,35.6,31.2,4.4,8.0,26.0,44.0,-3.0,1.0,-1.0
27,3/13/20,Alabama,Jefferson,36.6,31.2,5.4,0.0,36.0,-1.0,-6.0,-2.0,2.0
28,3/14/20,Alabama,Jefferson,43.6,31.2,12.4,-3.0,28.0,98.0,4.0,3.0,0.0
29,3/15/20,Alabama,Jefferson,19.0,31.2,-12.2,-16.0,14.0,-22.0,-11.0,-7.0,4.0
30,3/16/20,Alabama,Jefferson,38.8,31.2,7.6,-8.0,29.0,24.0,-13.0,-16.0,6.0
31,3/17/20,Alabama,Jefferson,68.4,31.2,37.2,-22.0,20.0,31.0,-14.0,-25.0,10.0
32,3/18/20,Alabama,Jefferson,54.6,31.2,23.4,-25.0,11.0,39.0,-17.0,-31.0,11.0
33,3/19/20,Alabama,Jefferson,38.0,31.2,6.8,-28.0,17.0,17.0,-24.0,-33.0,13.0
34,3/20/20,Alabama,Jefferson,33.4,31.2,2.2,-35.0,10.0,9.0,-29.0,-36.0,17.0
35,3/21/20,Alabama,Jefferson,21.4,31.2,-9.8,-44.0,2.0,22.0,-28.0,-23.0,11.0
36,3/22/20,Alabama,Jefferson,28.8,31.2,-2.4,-49.0,-11.0,-14.0,-37.0,-34.0,11.0
37,3/23/20,Alabama,Jefferson,32.0,31.2,0.8,-43.0,-10.0,-44.0,-41.0,-42.0,19.0
38,3/24/20,Alabama,Jefferson,38.0,31.2,6.8,-39.0,-1.0,10.0,-32.0,-43.0,17.0
39,3/25/20,Alabama,Jefferson,26.4,31.2,-4.8,-39.0,-7.0,30.0,-32.0,-44.0,17.0
40,3/26/20,Alabama,Jefferson,43.8,31.2,12.6,-40.0,-6.0,21.0,-33.0,-44.0,18.0
41,3/27/20,Alabama,Jefferson,61.0,31.2,29.8,-42.0,-7.0,32.0,-36.0,-45.0,20.0
42,3/28/20,Alabama,Jefferson,55.6,31.2,24.4,-46.0,-7.0,35.0,-32.0,-29.0,11.0
43,3/29/20,Alabama,Jefferson,36.0,31.2,4.8,-48.0,-16.0,7.0,-43.0,-36.0,11.0
44,3/30/20,Alabama,Jefferson,36.6,31.2,5.4,-38.0,-9.0,23.0,-39.0,-44.0,17.0
45,3/31/20,Alabama,Jefferson,29.2,31.2,-2.0,-41.0,-10.0,-27.0,-37.0,-46.0,20.0
46,4/1/20,Alabama,Jefferson,25.4,31.2,-5.8,-32.0,5.0,30.0,-31.0,-46.0,17.0
47,4/2/20,Alabama,Jefferson,28.8,31.2,-2.4,-37.0,2.0,16.0,-34.0,-45.0,19.0
48,4/3/20,Alabama,Jefferson,47.8,31.2,16.6,-36.0,11.0,26.0,-35.0,-45.0,19.0
49,4/4/20,Alabama,Jefferson,49.6,31.2,18.4,-46.0,14.0,9.0,-35.0,-31.0,12.0
50,4/5/20,Alabama,Jefferson,54.0,31.2,22.8,-56.0,-17.0,-20.0,-46.0,-42.0,13.0
51,4/6/20,Alabama,Jefferson,62.8,31.2,31.6,-43.0,-9.0,0.0,-39.0,-46.0,19.0
52,4/7/20,Alabama,Jefferson,54.8,31.2,23.6,-46.0,-12.0,-36.0,-41.0,-48.0,21.0
53,4/8/20,Alabama,Jefferson,50.0,31.2,18.8,-42.0,-9.0,-9.0,-37.0,-48.0,20.0
54,4/9/20,Alabama,Jefferson,25.6,31.2,-5.6,-41.0,-4.0,2.0,-40.0,-48.0,20.0
55,4/10/20,Alabama,Jefferson,26.2,31.2,-5.0,-41.0,-3.0,5.0,-44.0,-52.0,22.0
56,4/11/20,Alabama,Jefferson,41.2,31.2,10.0,-45.0,3.0,20.0,-35.0,-32.0,11.0
57,2/15/20,Alabama,Madison,26.0,26.0,0.0,2.0,1.0,49.0,4.0,3.0,-1.0
58,2/16/20,Alabama,Madison,43.0,26.0,17.0,1.0,-3.0,10.0,-7.0,1.0,-1.0
59,2/17/20,Alabama,Madison,38.0,26.0,12.0,6.0,1.0,16.0,-2.0,-30.0,7.0
60,2/19/20,Alabama,Madison,30.0,26.0,4.0,3.0,4.0,3.0,7.0,3.0,0.0
61,2/20/20,Alabama,Madison,25.0,26.0,-1.0,-9.0,-9.0,-33.0,-2.0,0.0,3.0
62,2/21/20,Alabama,Madison,24.0,26.0,-2.0,1.0,1.0,5.0,7.0,1.0,1.0
63,2/22/20,Alabama,Madison,33.0,26.0,7.0,7.0,2.0,94.0,11.0,7.0,-2.0
64,2/23/20,Alabama,Madison,45.0,26.0,19.0,0.0,0.0,1.0,10.0,3.0,0.0
65,2/24/20,Alabama,Madison,32.0,26.0,6.0,-6.0,-5.0,-33.0,-3.0,0.0,3.0
66,2/25/20,Alabama,Madison,22.0,26.0,-4.0,6.0,5.0,37.0,8.0,4.0,-2.0
67,2/26/20,Alabama,Madison,22.0,26.0,-4.0,8.0,4.0,-10.0,9.0,2.0,0.0
68,2/27/20,Alabama,Madison,25.0,26.0,-1.0,6.0,4.0,-1.0,14.0,2.0,0.0
69,2/28/20,Alabama,Madison,23.0,26.0,-3.0,6.0,6.0,6.0,14.0,2.0,-1.0
70,2/29/20,Alabama,Madison,25.0,26.0,-1.0,12.0,8.0,79.0,18.0,8.0,-3.0
71,3/1/20,Alabama,Madison,51.0,26.0,25.0,8.0,6.0,69.0,16.0,4.0,-2.0
72,3/2/20,Alabama,Madison,32.0,26.0,6.0,2.0,3.0,-26.0,-2.0,2.0,2.0
73,3/3/20,Alabama,Madison,38.0,26.0,12.0,13.0,11.0,44.0,2.0,3.0,-2.0
74,3/4/20,Alabama,Madison,36.0,26.0,10.0,8.0,6.0,5.0,7.0,4.0,0.0
75,3/5/20,Alabama,Madison,29.0,26.0,3.0,5.0,5.0,0.0,9.0,2.0,0.0
76,3/6/20,Alabama,Madison,22.0,26.0,-4.0,6.0,6.0,35.0,11.0,1.0,0.0
77,3/7/20,Alabama,Madison,29.0,26.0,3.0,9.0,8.0,122.0,14.0,6.0,-2.0
78,3/8/20,Alabama,Madison,32.0,26.0,6.0,7.0,5.0,90.0,19.0,3.0,-1.0
79,3/9/20,Alabama,Madison,45.0,26.0,19.0,6.0,8.0,45.0,5.0,2.0,0.0
80,3/10/20,Alabama,Madison,28.0,26.0,2.0,6.0,7.0,18.0,-6.0,1.0,0.0
81,3/11/20,Alabama,Madison,28.0,26.0,2.0,9.0,12.0,20.0,2.0,3.0,0.0
82,3/12/20,Alabama,Madison,38.0,26.0,12.0,7.0,31.0,27.0,4.0,2.0,0.0
83,3/13/20,Alabama,Madison,29.0,26.0,3.0,2.0,42.0,13.0,-1.0,0.0,1.0
84,3/14/20,Alabama,Madison,28.0,26.0,2.0,-7.0,31.0,67.0,5.0,5.0,2.0
85,3/15/20,Alabama,Madison,13.0,26.0,-13.0,-18.0,8.0,-30.0,-23.0,-10.0,5.0
86,3/16/20,Alabama,Madison,30.0,26.0,4.0,-11.0,21.0,-12.0,-25.0,-17.0,9.0
87,3/17/20,Alabama,Madison,44.0,26.0,18.0,-17.0,14.0,26.0,-22.0,-26.0,11.0
88,3/18/20,Alabama,Madison,41.0,26.0,15.0,-20.0,11.0,32.0,-21.0,-30.0,13.0
89,3/19/20,Alabama,Madison,41.0,26.0,15.0,-27.0,11.0,25.0,-28.0,-34.0,15.0
90,3/20/20,Alabama,Madison,30.0,26.0,4.0,-38.0,6.0,-22.0,-39.0,-37.0,19.0
91,3/21/20,Alabama,Madison,19.0,26.0,-7.0,-44.0,2.0,24.0,-26.0,-20.0,10.0
92,3/22/20,Alabama,Madison,25.0,26.0,-1.0,-45.0,-11.0,22.0,-40.0,-33.0,10.0
93,3/23/20,Alabama,Madison,21.0,26.0,-5.0,-40.0,-8.0,-34.0,-48.0,-44.0,19.0
94,3/24/20,Alabama,Madison,28.0,26.0,2.0,-43.0,-15.0,-21.0,-41.0,-46.0,20.0
95,3/25/20,Alabama,Madison,17.0,26.0,-9.0,-34.0,-5.0,31.0,-33.0,-45.0,18.0
96,3/26/20,Alabama,Madison,38.0,26.0,12.0,-34.0,-6.0,43.0,-35.0,-45.0,19.0
97,3/27/20,Alabama,Madison,62.0,26.0,36.0,-36.0,-2.0,42.0,-41.0,-45.0,19.0
98,3/28/20,Alabama,Madison,56.0,26.0,30.0,-42.0,-5.0,58.0,-22.0,-27.0,10.0
99,3/29/20,Alabama,Madison,27.0,26.0,1.0,-46.0,-17.0,35.0,-39.0,-38.0,10.0
100,3/30/20,Alabama,Madison,36.0,26.0,10.0,-39.0,-15.0,-7.0,-46.0,-50.0,20.0
101,3/31/20,Alabama,Madison,28.0,26.0,2.0,-41.0,-14.0,-36.0,-45.0,-52.0,22.0
102,4/1/20,Alabama,Madison,27.0,26.0,1.0,-35.0,-1.0,21.0,-37.0,-51.0,20.0
103,4/2/20,Alabama,Madison,35.0,26.0,9.0,-38.0,-3.0,19.0,-40.0,-52.0,21.0
104,4/3/20,Alabama,Madison,51.0,26.0,25.0,-36.0,11.0,34.0,-43.0,-51.0,21.0
105,4/4/20,Alabama,Madison,46.0,26.0,20.0,-47.0,4.0,39.0,-38.0,-33.0,12.0
106,4/5/20,Alabama,Madison,59.0,26.0,33.0,-56.0,-28.0,8.0,-53.0,-43.0,13.0
107,4/6/20,Alabama,Madison,58.0,26.0,32.0,-45.0,-20.0,1.0,-45.0,-54.0,22.0
108,4/7/20,Alabama,Madison,53.0,26.0,27.0,-44.0,-16.0,-3.0,-45.0,-54.0,22.0
109,4/8/20,Alabama,Madison,43.0,26.0,17.0,-43.0,-14.0,-3.0,-48.0,-54.0,23.0
110,4/9/20,Alabama,Madison,26.0,26.0,0.0,-42.0,-10.0,1.0,-46.0,-55.0,23.0
111,4/10/20,Alabama,Madison,29.0,26.0,3.0,-42.0,-8.0,13.0,-51.0,-56.0,24.0
112,4/11/20,Alabama,Madison,38.0,26.0,12.0,-46.0,-5.0,55.0,-37.0,-36.0,11.0
113,2/15/20,Alabama,Montgomery,51.0,51.0,0.0,6.0,1.0,56.0,6.0,3.0,-1.0
114,2/16/20,Alabama,Montgomery,57.0,51.0,6.0,-3.0,-1.0,-16.0,-31.0,-4.0,1.0
115,2/17/20,Alabama,Montgomery,50.0,51.0,-1.0,2.0,0.0,-2.0,-21.0,-28.0,7.0
116,2/18/20,Alabama,Montgomery,45.0,51.0,-6.0,-1.0,-3.0,-4.0,-18.0,1.0,1.0
117,2/19/20,Alabama,Montgomery,23.0,51.0,-28.0,3.0,0.0,2.0,-10.0,-1.0,1.0
118,2/20/20,Alabama,Montgomery,30.0,51.0,-21.0,-9.0,-8.0,-21.0,-12.0,0.0,4.0
119,2/21/20,Alabama,Montgomery,33.0,51.0,-18.0,2.0,-2.0,38.0,-11.0,2.0,1.0
120,2/22/20,Alabama,Montgomery,53.0,51.0,2.0,1.0,0.0,56.0,13.0,15.0,-2.0
121,2/23/20,Alabama,Montgomery,58.0,51.0,7.0,2.0,3.0,0.0,-16.0,0.0,-1.0
