,City,Country,Pop,Lat,Lon
0,Bishkek,KG,900000,42.87,74.59
1,PloieÅŸti,RO,228851,44.95,26.01667
2,Craiova,RO,304142,44.31667,23.8
3,BacÄƒu,RO,171396,46.56718,26.91384
4,RÃ¢mnicu VÃ¢lcea,RO,107558,45.1,24.36667
5,Sibiu,RO,151894,45.8,24.15
6,TimiÅŸoara,RO,315053,45.75372,21.22571
7,PiteÅŸti,RO,167669,44.85,24.86667
8,Arad,RO,169065,46.18333,21.31667
9,Cluj-Napoca,RO,316748,46.76667,23.6
10,Bucharest,RO,1877155,44.43225,26.10626
11,Baia Mare,RO,136553,47.65729,23.56808
12,Oradea,RO,206614,47.0458,21.91833
13,GalaÅ£i,RO,294087,45.43687,28.05028
14,BraÅŸov,RO,276088,45.64861,25.60613
15,IaÅŸi,RO,318012,47.16667,27.6
16,ConstanÅ£a,RO,303399,44.18073,28.63432
17,BrÄƒila,RO,213569,45.27152,27.97429
18,Riyadh,SA,4205961,24.68773,46.72185
19,Jeddah,SA,2867446,21.49012,39.18624
20,Abha,SA,210886,18.21639,42.50528
21,Dammam,SA,768602,26.43442,50.10326
22,Ha'il,SA,267005,27.52188,41.69073
23,Buraydah,SA,391336,26.32599,43.97497
24,Mecca,SA,1323624,21.42664,39.82563
25,San Salvador,SV,525990,13.68935,-89.18718
26,Copenhagen,DK,1153615,55.67594,12.56553
27,Tbilisi,GE,1049498,41.69411,44.83368
28,Debrecen,HU,204124,47.53167,21.62444
29,GyÅ‘r,HU,128265,47.68333,17.63512
30,Szeged,HU,164883,46.253,20.14824
31,PÃ©cs,HU,156649,46.0725,18.23083
32,KecskemÃ©t,HU,109847,46.90618,19.69128
33,Miskolc,HU,172637,48.10306,20.77806
34,Budapest,HU,1741041,47.49835,19.04045
35,Sofia,BG,1152556,42.69751,23.32415
36,Burgas,BG,195966,42.50606,27.46781
37,Plovdiv,BG,340494,42.15,24.75
38,Accra,GH,1963264,5.55602,-0.19690000000000002
39,Ulan Bator,MN,844818,47.90771,106.88324
40,á¸¨awallÄ«,KW,164212,29.33278,48.02861
41,KoÅ¡ice,SK,236563,48.71395,21.25808
42,Bratislava,SK,423737,48.14816,17.10674
43,Taitung City,TW,109584,22.7583,121.1444
44,Taichung,TW,1040725,24.1469,120.6839
45,Taoyuan City,TW,402014,24.99368,121.29696
46,Taipei,TW,7871900,25.04776,121.53185
47,Hsinchu,TW,404109,24.80361,120.96861
48,Keelung,TW,397515,25.12825,121.7419
49,Tainan,TW,771235,22.99083,120.21333
50,Douliu,TW,104723,23.70944,120.54333
51,Kaohsiung,TW,1519711,22.61626,120.31333
52,Middelburg,ZA,154706,-25.77507,29.46482
53,Pretoria,ZA,1619438,-25.74486,28.18783
54,East London,ZA,478676,-33.01529,27.91162
55,Johannesburg,ZA,2026469,-26.20227,28.04363
56,Bloemfontein,ZA,463064,-29.12107,26.214
57,Cape Town,ZA,3433441,-33.92584,18.42322
58,Vereeniging,ZA,474681,-26.67313,27.92615
59,Durban,ZA,3120282,-29.8579,31.0292
60,Klerksdorp,ZA,178921,-26.85213,26.66672
61,Richards Bay,ZA,252968,-28.78301,32.03768
62,Port Elizabeth,ZA,967677,-33.96109,25.61494
63,Worcester,ZA,127597,-33.64651,19.44852
64,Buenos Aires,AR,13076300,-34.61315,-58.37723
65,Vantaa,FI,190058,60.29414,25.04099
66,Turku,FI,175945,60.45148,22.26869
67,Oulu,FI,128618,65.01236,25.46816
68,Helsinki,FI,558457,60.16952,24.93545
69,Tampere,FI,202687,61.49911,23.78712
70,Zagreb,HR,698966,45.81444,15.97798
71,Rijeka,HR,141172,45.32673,14.44241
72,Split,HR,176314,43.50891,16.43915
